"","SYMBOL","SERIES","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","TOTTRDQTY","TOTTRDVAL","TIMESTAMP","TOTALTRADES","ISIN","X"
"1","1018GS2026","GS",103.5,103.5,102.15,102.36,102.15,103.4,195,0.2,"30-Apr-2026",5,"",""
"2","20MICRONS","EQ",179.55,179.82,175.41,176.89,177.81,179.35,53904,95.52,"30-Apr-2026",1330,"",""
"3","21STCENMGM","EQ",36.21,36.74,35.69,36.58,36.74,36.21,744,0.27,"30-Apr-2026",38,"",""
"4","360ONE","EQ",1038.2,1041.35,1009,1034.65,1040,1046.8,1026753,10536.6,"30-Apr-2026",45637,"",""
"5","3BBLACKBIO","EQ",1258.4,1261.25,1166.5,1199.3,1194.8,1264.7,16417,198.79,"30-Apr-2026",2786,"",""
"6","3IINFOLTD","EQ",17.69,17.94,17.32,17.46,17.57,17.79,220542,38.59,"30-Apr-2026",952,"",""
"7","3MINDIA","EQ",33125,33490,32770,33300,33365,33175,1816,602.24,"30-Apr-2026",1220,"",""
"8","3PLAND","EQ",33.99,35.75,33.99,35.02,35.74,35.49,1798,0.62,"30-Apr-2026",48,"",""
"9","574GS2026","GS",101.91,103.9,101.91,103.9,103.9,101.85,53,0.05,"30-Apr-2026",4,"",""
"10","591GS2028","GS",100.46,100.65,100.46,100.65,100.65,99.25,200,0.2,"30-Apr-2026",2,"",""
"11","5PAISA","EQ",338.99,343.56,325.25,335.49,343.5,339.77,161179,541.36,"30-Apr-2026",3958,"",""
"12","601GS2030","GS",98.11,99.1,98.11,99.1,99.1,98.05,16519,16.29,"30-Apr-2026",3,"",""
"13","603GS2029","GS",100.9,100.9,100.9,100.9,100.9,98.21,10,0.01,"30-Apr-2026",1,"",""
"14","610GS2031","GS",95.96,101,95.96,101,101,101,9,0.01,"30-Apr-2026",3,"",""
"15","628GS2032","GS",97.66,97.71,97.66,97.71,97.71,96.01,5000,4.88,"30-Apr-2026",2,"",""
"16","636GS2031","GS",98.8,98.8,98.8,98.8,98.8,98.8,100,0.1,"30-Apr-2026",1,"",""
"17","63MOONS","EQ",749,758.25,720.05,746.65,746,755,250556,1865.3,"30-Apr-2026",10308,"",""
"18","654GS2032","GS",99.6,99.6,99.5,99.53,99.5,99.5,17002,16.92,"30-Apr-2026",8,"",""
"19","667GS2050","GS",94.3,94.8,94.3,94.3,94.3,94.3,1502,1.42,"30-Apr-2026",5,"",""
"20","668GS2040","GS",98.45,98.45,95.26,96.5,96.5,98.4,7553,7.23,"30-Apr-2026",16,"",""
"21","676GS2061","GS",91.8,91.8,91,91.07,91.1,91.6,5115,4.67,"30-Apr-2026",16,"",""
"22","679GS2031","GS",101,102,99,102,102,100,26700,26.87,"30-Apr-2026",5,"",""
"23","679GS2034","GS",99.75,99.75,99.75,99.75,99.75,100.25,250,0.25,"30-Apr-2026",1,"",""
"24","690GS2065","GS",91.19,91.24,89.4,90.91,91,91.18,52964,48.03,"30-Apr-2026",86,"",""
"25","695GS2061","GS",94.74,94.74,94.45,94.45,94.45,94.75,80,0.08,"30-Apr-2026",8,"",""
"26","699GS2051","GS",97.19,97.9,97.19,97.9,97.9,96.87,8005,7.78,"30-Apr-2026",5,"",""
"27","702GS2027","GS",103.23,103.23,103.23,103.23,103.23,103.23,600,0.62,"30-Apr-2026",2,"",""
"28","702GS2031","GS",103,103,103,103,103,104.49,100,0.1,"30-Apr-2026",1,"",""
"29","706GS2028","GS",101.7,101.7,101.7,101.7,101.7,101.78,100,0.1,"30-Apr-2026",1,"",""
"30","709GS2054","GS",96.49,96.5,96.49,96.5,96.5,96.5,1509,1.46,"30-Apr-2026",10,"",""
"31","709GS2074","GS",96.89,96.89,96.04,96.4,96.4,96.51,10243,9.84,"30-Apr-2026",23,"",""
"32","710GS2029","GS",102.35,102.35,101.44,101.44,101.44,102,7382,7.51,"30-Apr-2026",9,"",""
"33","716GS2050","GS",99,99,99,99,99,99,1642,1.63,"30-Apr-2026",12,"",""
"34","717GS2030","GS",102.5,102.5,102.5,102.5,102.5,102,3900,4,"30-Apr-2026",3,"",""
"35","718GS2033","GS",103.84,103.84,103.84,103.84,103.84,103.9,4550,4.72,"30-Apr-2026",4,"",""
"36","718GS2037","GS",103.8,104,103.25,103.69,103.7,103.7,62500,64.86,"30-Apr-2026",42,"",""
"37","719GS2060","GS",98,98,98,98,98,98.5,30,0.03,"30-Apr-2026",1,"",""
"38","723GS2039","GS",100,100.05,100,100.05,100.05,102.6,200,0.2,"30-Apr-2026",2,"",""
"39","724GS2055","GS",98,98,97.7,98,98,98.29,104736,102.52,"30-Apr-2026",42,"",""
"40","725GS2063","GS",98.4,98.4,97.71,98.04,98.05,98.47,91947,90.16,"30-Apr-2026",117,"",""
"41","726GS2029","GS",102,102,102,102,102,102,100,0.1,"30-Apr-2026",1,"",""
"42","732GS2030","GS",104.66,109.9,104.66,108.4,109.9,105.1,500,0.53,"30-Apr-2026",5,"",""
"43","733GS2026","GS",100.5,100.5,100.2,100.21,100.21,100.16,210,0.21,"30-Apr-2026",4,"",""
"44","734GS2064","GS",97.25,97.25,96.65,96.7,96.7,96.93,55311,53.58,"30-Apr-2026",80,"",""
"45","737GS2028","GS",101.91,101.92,101.81,101.92,101.92,101.71,8500,8.66,"30-Apr-2026",7,"",""
"46","738GS2027","GS",103.81,104.1,103.5,103.94,103.95,104.04,69670,72.4,"30-Apr-2026",24,"",""
"47","741GS2036","GS",105.2,106.5,105.2,105.95,105.95,105.56,63454,67.18,"30-Apr-2026",15,"",""
"48","743GS2076","GS",102.95,102.95,100,100.05,100.05,100.5,41457,41.48,"30-Apr-2026",12,"",""
"49","746GS2073","GS",102.95,102.95,102.9,102.9,102.9,102.61,3118,3.21,"30-Apr-2026",14,"",""
"50","74GS2035","GS",100.34,100.34,100.34,100.34,100.34,100.34,1800,1.81,"30-Apr-2026",2,"",""
"51","750GS2056","GS",100,100,98,98.51,98.51,100,1300,1.29,"30-Apr-2026",6,"",""
"52","754GS2036","GS",107,107.15,106.95,107.04,107,107.1,582994,624.19,"30-Apr-2026",190,"",""
"53","772GS2049","GS",106.55,106.55,106.55,106.55,106.55,106.55,100,0.11,"30-Apr-2026",1,"",""
"54","795GS2032","GS",108.75,108.75,108.75,108.75,108.75,108.25,461,0.5,"30-Apr-2026",1,"",""
"55","824GS2027","GS",106.98,106.98,105,105,105,107,124,0.13,"30-Apr-2026",2,"",""
"56","832GS2032","GS",109,109,109,109,109,103.9,100,0.11,"30-Apr-2026",1,"",""
"57","833GS2026","GS",100,100,100,100,100,99.7,480,0.48,"30-Apr-2026",5,"",""
"58","86GS2028","GS",108.39,108.39,108.39,108.39,108.39,108.39,300,0.33,"30-Apr-2026",1,"",""
"59","897GS2030","GS",109.6,109.6,109.6,109.6,109.6,110.5,100,0.11,"30-Apr-2026",1,"",""
"60","A2ZINFRA","BE",16.96,16.96,16.62,16.9,16.74,16.96,111715,18.78,"30-Apr-2026",139,"",""
"61","AAATECH","EQ",99.56,100.57,98.6,99.46,99.41,99.46,121392,120.29,"30-Apr-2026",370,"",""
"62","AADHARHFC","EQ",485,491,481.05,488.6,491,488.75,122224,595.33,"30-Apr-2026",8511,"",""
"63","AAKASH","BE",8.21,8.3,8.01,8.13,8.24,8.21,107584,8.7,"30-Apr-2026",272,"",""
"64","AAREYDRUGS","BE",90,92.5,85.99,91.08,90,90.51,129636,114.37,"30-Apr-2026",413,"",""
"65","AARNAV","EQ",23,23.63,23,23.07,23.35,23.08,18499,4.29,"30-Apr-2026",172,"",""
"66","AARON","EQ",139.01,140.45,138,138.38,138.01,138.77,8420,11.69,"30-Apr-2026",389,"",""
"67","AARTECH","EQ",49,49.6,48.22,48.64,48.49,49.42,26798,13.12,"30-Apr-2026",547,"",""
"68","AARTIDRUGS","EQ",372.7,378.8,370,376.3,377,373.35,89293,334.5,"30-Apr-2026",2505,"",""
"69","AARTIIND","EQ",500,510.05,495.9,507.5,507,502.35,1493230,7530.17,"30-Apr-2026",38481,"",""
"70","AARTIPHARM","EQ",708,753.4,706.55,740.25,747,709.1,530126,3928.46,"30-Apr-2026",26235,"",""
"71","AARTISURF","EQ",411.95,413.95,400.6,407.9,409,412.2,3187,12.99,"30-Apr-2026",424,"",""
"72","AARTISURF","P1",253,253,253,253,253,252,50,0.13,"30-Apr-2026",2,"",""
"73","AARVI","EQ",128.36,128.73,124,125.1,125,128.31,21613,27.17,"30-Apr-2026",499,"",""
"74","AAVAS","EQ",1380.2,1386.4,1351,1380.7,1384,1382.1,101440,1381.51,"30-Apr-2026",8103,"",""
"75","ABANSENT","EQ",43.6,43.6,41.55,43.6,43.6,39.65,219537,95.19,"30-Apr-2026",1509,"",""
"76","ABB","EQ",7250,7305,7102,7230,7259,7264.5,327820,23579.81,"30-Apr-2026",42456,"",""
"77","ABBOTINDIA","EQ",25395,25485,25250,25435,25410,25475,4669,1183.4,"30-Apr-2026",2025,"",""
"78","ABCAPITAL","EQ",346,347.55,340.05,345.5,345.75,348.45,4348049,14986.1,"30-Apr-2026",42414,"",""
"79","ABCOTS","EQ",227.9,229.95,221,223.6,223.5,225.25,66619,149.2,"30-Apr-2026",1604,"",""
"80","ABDL","EQ",555,564.8,528,531.8,533.7,551.85,384581,2069.28,"30-Apr-2026",14706,"",""
"81","ABFRL","EQ",64.9,66.31,63.87,64.2,63.9,65.05,4094830,2658.78,"30-Apr-2026",21079,"",""
"82","ABGSEC","EQ",112.86,112.86,110.83,112,112,113.21,34,0.04,"30-Apr-2026",6,"",""
"83","ABHAPOWER","SM",31.2,31.2,30,31.15,31.15,31.25,8000,2.46,"30-Apr-2026",5,"",""
"84","ABINFRA","EQ",15.71,16.18,15.65,15.86,15.75,15.61,404925,64.29,"30-Apr-2026",907,"",""
"85","ABLBL","EQ",103.5,105.4,102.5,102.78,102.99,104.93,600751,620.59,"30-Apr-2026",12577,"",""
"86","ABMINTLLTD","BE",42.01,42.01,41.61,41.61,41.61,43.76,2,0,"30-Apr-2026",2,"",""
"87","ABMKNO","EQ",220,228,216.05,227.95,226.95,225.05,99,0.22,"30-Apr-2026",21,"",""
"88","ABREL","EQ",1549.9,1549.9,1470.4,1486.2,1488.9,1550.4,244766,3691.19,"30-Apr-2026",13791,"",""
"89","ABSL10BANK","EQ",162.59,163.85,162.26,163.45,163.45,165,410,0.67,"30-Apr-2026",19,"",""
"90","ABSLAMC","EQ",1019.05,1029.65,999.75,1015.2,1016,1024.1,237871,2415.51,"30-Apr-2026",19166,"",""
"91","ABSLBANETF","EQ",55.98,56.42,55.66,56.15,56.42,56.5,28217,15.8,"30-Apr-2026",374,"",""
"92","ABSLFTTJRN","MF",10,10,10,10,10,10.02,198,0.02,"30-Apr-2026",1,"",""
"93","ABSLLIQUID","EQ",1000,1000.01,999.99,1000.01,1000.01,1000,787,7.87,"30-Apr-2026",20,"",""
"94","ABSLMSCIN","EQ",29,29,29,29,29,29.25,336,0.1,"30-Apr-2026",4,"",""
"95","ABSLNN50ET","EQ",73.55,74.95,72.8,73.43,73.26,73.91,7707,5.66,"30-Apr-2026",247,"",""
"96","ABSLPSE","EQ",11.16,11.37,10.92,11.01,11.07,11.12,357915,39.31,"30-Apr-2026",600,"",""
"97","ABSMARINE","SM",217,227.95,214,225.4,224.8,222.3,53500,117.7,"30-Apr-2026",91,"",""
"98","ACC","EQ",1438,1438,1406,1422.1,1417.9,1436.6,174028,2466.32,"30-Apr-2026",10989,"",""
"99","ACCELYA","EQ",1170,1179,1156,1158.6,1160,1201.7,21833,254.19,"30-Apr-2026",1895,"",""
"100","ACCENTMIC","SM",419.95,428,419.95,425.35,423.1,420,35500,150.37,"30-Apr-2026",55,"",""
"101","ACCORD","ST",50.6,50.6,45.8,48.35,45.8,48.2,12000,5.89,"30-Apr-2026",6,"",""
"102","ACCPL","SM",108.65,108.65,103,108.65,108.65,103.5,111600,119.69,"30-Apr-2026",87,"",""
"103","ACCURACY","BE",5.12,5.22,5.07,5.09,5.08,5.21,71366,3.64,"30-Apr-2026",238,"",""
"104","ACE","EQ",899,902.45,882,887.65,884.5,899,219741,1954.18,"30-Apr-2026",12544,"",""
"105","ACEINTEG","EQ",19.99,20.25,19.14,19.5,19.5,19.44,2552,0.5,"30-Apr-2026",75,"",""
"106","ACI","EQ",622,622,603.55,607.3,605,622.15,88680,541.62,"30-Apr-2026",5513,"",""
"107","ACL","EQ",55.2,57,55.2,56.31,56.5,56.32,8995,5.05,"30-Apr-2026",312,"",""
"108","ACMESOLAR","EQ",306,308.55,298.7,302.85,301.4,303.1,1105704,3353.28,"30-Apr-2026",19723,"",""
"109","ACSTECH","EQ",37.9,38.6,37.9,37.95,38.35,38.65,22428,8.51,"30-Apr-2026",132,"",""
"110","ACUTAAS","EQ",2516.3,2710,2486,2594.1,2592.1,2502.4,2668458,68953.06,"30-Apr-2026",184275,"",""
"111","ADANIENSOL","EQ",1336,1377.1,1308,1342.25,1344.95,1418.15,6547437,87738.14,"30-Apr-2026",155913,"",""
"112","ADANIENT","EQ",2394.9,2420,2328.8,2408.4,2410.5,2425.9,3538354,84363.7,"30-Apr-2026",91584,"",""
"113","ADANIGREEN","EQ",1235,1237.55,1203.55,1227.15,1231,1244.8,3019213,36827.04,"30-Apr-2026",56671,"",""
"114","ADANIPORTS","EQ",1650,1677,1596.8,1657.3,1675.5,1661.1,6313698,103164.5,"30-Apr-2026",138819,"",""
"115","ADANIPOWER","EQ",216.9,223.5,214.24,221.85,222.08,219.28,67584204,148119.41,"30-Apr-2026",270799,"",""
"116","ADDICTIVE","SM",96,96,91.2,91.2,91.2,96,4000,3.69,"30-Apr-2026",8,"",""
"117","ADFFOODS","EQ",260,273,257.22,264.14,264,259.67,311496,823.33,"30-Apr-2026",6258,"",""
"118","ADISOFT","ST",205,215.25,205,215.25,215.25,172,2297600,4772.47,"30-Apr-2026",1706,"",""
"119","ADL","EQ",74.99,77.4,72.5,75.99,72.5,74.5,1323,1.01,"30-Apr-2026",22,"",""
"120","ADOR","EQ",1127.7,1127.7,1066,1078.85,1081,1106.05,167317,1845.32,"30-Apr-2026",10756,"",""
"121","ADROITINFO","EQ",10.32,10.32,9.68,9.98,10,9.98,27615,2.74,"30-Apr-2026",375,"",""
"122","ADSL","EQ",114.53,116.39,113.41,114.59,113.99,116.04,70987,81.34,"30-Apr-2026",1754,"",""
