"","SYMBOL","SERIES","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","TOTTRDQTY","TOTTRDVAL","TIMESTAMP","TOTALTRADES","ISIN","X"
"1","1018GS2026","GS",104.1,105.1,104.1,105.1,105.1,105.24,12,0.01,"28-Oct-2025",3,"",""
"2","20MICRONS","EQ",210.6,211.54,208.62,209.37,210,210.26,51403,107.66,"28-Oct-2025",1067,"",""
"3","21STCENMGM","EQ",46.9,46.93,45.08,45.63,46.02,46.01,7661,3.5,"28-Oct-2025",138,"",""
"4","360ONE","EQ",1173.4,1183.4,1166.1,1171.8,1169.8,1173,500694,5880.48,"28-Oct-2025",19481,"",""
"5","3IINFOLTD","EQ",20.01,20.8,19.95,20.56,20.67,19.97,739143,150.57,"28-Oct-2025",2378,"",""
"6","3MINDIA","EQ",29930,30250,29470,29545,29560,30015,1555,463.38,"28-Oct-2025",1126,"",""
"7","3PLAND","EQ",44.64,44.95,42.6,42.88,42.75,43.56,13001,5.61,"28-Oct-2025",149,"",""
"8","574GS2026","GS",103.75,103.75,101.63,101.63,101.63,101.76,3,0,"28-Oct-2025",2,"",""
"9","577GS2030","GS",97.16,97.17,97.16,97.17,97.17,99.9,2,0,"28-Oct-2025",2,"",""
"10","5PAISA","EQ",318,321,315,316.6,318.5,316.5,29717,94.36,"28-Oct-2025",1237,"",""
"11","601GS2030","GS",99.9,99.9,99.9,99.9,99.9,99.9,1000,1,"28-Oct-2025",2,"",""
"12","622GS2035","GS",98,98,98,98,98,98,207,0.2,"28-Oct-2025",1,"",""
"13","633GS2035","GS",101,101,101,101,101,100.7,11,0.01,"28-Oct-2025",2,"",""
"14","63MOONS","EQ",796.1,819.5,781,793.1,790,796.1,138860,1116.03,"28-Oct-2025",7039,"",""
"15","648GS2035","GS",99.5,99.5,99.5,99.5,99.5,99.5,900,0.9,"28-Oct-2025",1,"",""
"16","664GS2027","GS",102.85,102.85,102.85,102.85,102.85,102.75,300,0.31,"28-Oct-2025",2,"",""
"17","667GS2050","GS",96.39,96.39,96.06,96.28,96.39,96.5,980,0.94,"28-Oct-2025",9,"",""
"18","668GS2040","GS",100.01,101.01,100.01,101.01,101.01,100.01,12900,13.03,"28-Oct-2025",6,"",""
"19","676GS2061","GS",95.01,95.66,94.01,94.6,94.6,95.45,9505,8.98,"28-Oct-2025",27,"",""
"20","679GS2031","GS",103.46,104.5,103.46,104.5,104.5,104.5,101,0.1,"28-Oct-2025",2,"",""
"21","679GS2034","GS",100.4,100.4,100.4,100.4,100.4,100.9,1500,1.51,"28-Oct-2025",1,"",""
"22","679GS2034A","GS",101.03,101.03,101.03,101.03,101.03,101.03,100,0.1,"28-Oct-2025",1,"",""
"23","68GS2060","GS",97.5,97.5,96.7,96.7,96.7,96.5,311,0.3,"28-Oct-2025",11,"",""
"24","690GS2065","GS",96.9,97.2,96.55,96.85,96.85,96.76,64094,61.99,"28-Oct-2025",79,"",""
"25","692GS2039","GS",102.4,103.6,102.4,103.6,103.6,106,14351,14.73,"28-Oct-2025",5,"",""
"26","698GR2054","GS",97.98,97.98,97.98,97.98,97.98,99.98,400,0.39,"28-Oct-2025",6,"",""
"27","699GS2026","GS",100.99,100.99,100.41,100.89,100.89,100.45,1103,1.11,"28-Oct-2025",7,"",""
"28","699GS2051","GS",100,100,99.99,99.99,99.99,100.5,22191,22.19,"28-Oct-2025",14,"",""
"29","702GS2027","GS",104.05,104.05,104.05,104.05,104.05,104.05,1100,1.14,"28-Oct-2025",2,"",""
"30","704GS2029","GS",104.5,104.5,104.5,104.5,104.5,105.2,10000,10.45,"28-Oct-2025",2,"",""
"31","706GS2028","GS",103,103,103,103,103,103.18,1000,1.03,"28-Oct-2025",1,"",""
"32","709GS2054","GS",102,102.98,101.5,102.98,102.98,101.75,51101,51.92,"28-Oct-2025",98,"",""
"33","709GS2074","GS",102,102.5,101.3,102,102,101.74,281431,285.72,"28-Oct-2025",182,"",""
"34","710GS2029","GS",103.2,103.2,103,103.15,103.15,103,46375,47.77,"28-Oct-2025",9,"",""
"35","716GS2050","GS",101,101,100.71,100.71,100.71,101,3634,3.66,"28-Oct-2025",5,"",""
"36","717GS2030","GS",106,106,103,103,103,104,6001,6.22,"28-Oct-2025",13,"",""
"37","718GS2033","GS",104.1,104.1,104,104,104,104.25,12240,12.74,"28-Oct-2025",2,"",""
"38","718GS2037","GS",104.8,104.8,104.8,104.8,104.8,104.85,3000,3.14,"28-Oct-2025",1,"",""
"39","724GS2055","GS",101.9,101.9,101.5,101.5,101.5,101.9,1800,1.83,"28-Oct-2025",3,"",""
"40","725GS2063","GS",105,105,102.57,103.48,103.43,103.81,253938,263.03,"28-Oct-2025",324,"",""
"41","726GS2032","GS",104.1,104.1,104.1,104.1,104.1,105.85,10000,10.41,"28-Oct-2025",1,"",""
"42","732GS2030","GS",106.65,108.2,106.65,107.95,107.7,106.3,1604,1.73,"28-Oct-2025",5,"",""
"43","733GS2026","GS",103.34,104,103.34,104,104,103.34,1100,1.14,"28-Oct-2025",2,"",""
"44","734GS2064","GS",102.49,102.89,101.35,101.45,101.9,102.49,361095,367.26,"28-Oct-2025",512,"",""
"45","737GS2028","GS",103.07,104.18,103.07,103.9,104,103.07,15964,16.48,"28-Oct-2025",15,"",""
"46","738GS2027","GS",105.11,105.21,105.1,105.11,105.12,105.27,90933,95.6,"28-Oct-2025",19,"",""
"47","73GS2053","GS",103.9,104,103.61,103.75,103.85,103.86,972922,1009.44,"28-Oct-2025",23,"",""
"48","741GS2036","GS",106.71,106.71,106.7,106.7,106.7,107.5,11700,12.48,"28-Oct-2025",2,"",""
"49","746GS2073","GS",106.7,106.7,106,106,106,106.7,114873,122.46,"28-Oct-2025",35,"",""
"50","74GS2062","GS",102.6,102.6,102.6,102.6,102.6,103.39,2000,2.05,"28-Oct-2025",1,"",""
"51","754GS2036","GS",109.85,109.85,109.1,109.44,109.4,109.5,479029,524.33,"28-Oct-2025",166,"",""
"52","759GS2026","GS",102.5,102.5,102.5,102.5,102.5,101.3,400,0.41,"28-Oct-2025",3,"",""
"53","772GS2055","GS",106.5,106.5,106.5,106.5,106.5,108.76,117,0.12,"28-Oct-2025",1,"",""
"54","813GS2045","GS",116.25,116.25,116.25,116.25,116.25,116.25,1,0,"28-Oct-2025",1,"",""
"55","828GS2027","GS",104.9,104.9,104.9,104.9,104.9,103.5,1965,2.06,"28-Oct-2025",1,"",""
"56","833GS2026","GS",102.9,102.91,102.9,102.91,102.91,102.55,10,0.01,"28-Oct-2025",3,"",""
"57","883GS2041","GS",119.65,119.65,119.65,119.65,119.65,119.65,1,0,"28-Oct-2025",1,"",""
"58","92GS2030","GS",115.15,115.15,114.6,114.78,114.6,115.2,26063,29.9,"28-Oct-2025",21,"",""
"59","A2ZINFRA","EQ",16.21,16.85,16.21,16.51,16.58,16.44,139179,22.9,"28-Oct-2025",580,"",""
"60","AAATECH","BE",91.42,93.4,89.1,90.45,90.5,90.97,31780,28.9,"28-Oct-2025",377,"",""
"61","AADHARHFC","EQ",513.45,515,510.2,512,514.65,511.2,110020,563.8,"28-Oct-2025",5559,"",""
