"","SYMBOL","SERIES","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","TOTTRDQTY","TOTTRDVAL","TIMESTAMP","TOTALTRADES","ISIN","X"
"1","1018GS2026","GS",104.6,104.6,104.59,104.59,104.59,104.6,25,0.03,"06-May-2026",4,"",""
"2","20MICRONS","EQ",182.4,184.13,178,182.32,183.1,180.25,109136,198.93,"06-May-2026",2188,"",""
"3","21STCENMGM","EQ",36.62,36.62,35.25,35.25,35.25,35.96,3164,1.12,"06-May-2026",33,"",""
"4","360ONE","EQ",1079.8,1097.6,1075,1084.1,1084.9,1070.7,2173450,23519.9,"06-May-2026",31255,"",""
"5","3BBLACKBIO","EQ",1296.7,1325,1269,1318,1325,1283,10341,134.83,"06-May-2026",1207,"",""
"6","3IINFOLTD","EQ",17.12,17.58,17.12,17.43,17.45,17.08,221648,38.45,"06-May-2026",1191,"",""
"7","3MINDIA","EQ",32505,32795,31995,32525,32520,32425,2929,946.96,"06-May-2026",1611,"",""
"8","3PLAND","EQ",34.5,35.8,34.5,35.25,35.18,34.48,1079,0.38,"06-May-2026",55,"",""
"9","574GS2026","GS",99.93,101.99,99.93,101.99,101.99,101.97,2,0,"06-May-2026",2,"",""
"10","5PAISA","EQ",336.05,344,333.5,339.4,340,333.3,31529,106.82,"06-May-2026",1285,"",""
"11","601GS2030","GS",98.5,98.5,98.5,98.5,98.5,99.1,400,0.39,"06-May-2026",2,"",""
"12","610GS2031","GS",99,102,97,102,102,102,999,0.99,"06-May-2026",5,"",""
"13","628GS2032","GS",98.65,98.65,98.65,98.65,98.65,98.65,400,0.39,"06-May-2026",3,"",""
"14","633GS2035","GS",97,97,97,97,97,98.5,5000,4.85,"06-May-2026",1,"",""
"15","636GS2031","GS",98.56,98.8,98.56,98.8,98.8,98.8,700,0.69,"06-May-2026",5,"",""
"16","63MOONS","EQ",739.55,744.55,730.85,740.9,743.25,733.75,76749,566.39,"06-May-2026",3019,"",""
"17","654GS2032","GS",100.9,100.9,99.75,99.75,99.75,99.5,1009,1.01,"06-May-2026",6,"",""
"18","667GS2050","GS",94.9,94.9,94.9,94.9,94.9,94.3,5,0,"06-May-2026",2,"",""
"19","668GS2040","GS",96.7,97.49,96.7,96.99,96.99,96.7,2171,2.1,"06-May-2026",23,"",""
"20","676GS2061","GS",91.8,91.8,91,91.3,91.3,91.22,5813,5.3,"06-May-2026",12,"",""
"21","679GS2034","GS",98.75,98.75,98.75,98.75,98.75,99.97,100,0.1,"06-May-2026",1,"",""
"22","68GS2060","GS",93,95.79,93,95.79,95.79,95.79,311,0.29,"06-May-2026",3,"",""
"23","690GS2065","GS",91.67,91.94,91.04,91.55,91.79,91.1,28938,26.48,"06-May-2026",22,"",""
"24","695GS2061","GS",95.5,95.5,95.5,95.5,95.5,94,33,0.03,"06-May-2026",2,"",""
"25","699GS2051","GS",97.8,97.8,96.03,96.03,96.03,97.33,3213,3.11,"06-May-2026",9,"",""
"26","702GS2027","GS",102.91,103.21,102.91,103.21,103.21,103.23,10100,10.42,"06-May-2026",3,"",""
"27","702GS2031","GS",102.51,103,102.51,102.8,102.8,103,10778,11.09,"06-May-2026",9,"",""
"28","704GS2029","GS",103.36,104.75,103.36,103.9,103.9,103.36,434,0.45,"06-May-2026",4,"",""
"29","706GS2028","GS",101.7,101.7,101.55,101.55,101.55,101.56,1330,1.35,"06-May-2026",4,"",""
"30","709GS2054","GS",97.01,97.5,97.01,97.23,97.01,96.8,3313,3.22,"06-May-2026",10,"",""
"31","709GS2074","GS",97,97.7,96.52,96.56,97,96.51,13094,12.7,"06-May-2026",16,"",""
"32","710GS2029","GS",98.94,102.2,98.94,102.2,102.2,101.48,16487,16.75,"06-May-2026",13,"",""
"33","716GS2050","GS",99.2,99.2,99.2,99.2,99.2,99,1000,0.99,"06-May-2026",1,"",""
"34","717GS2030","GS",101.75,103.2,101.75,102.33,102.1,101.75,10098,10.32,"06-May-2026",12,"",""
"35","718GS2033","GS",103,103,101.75,103,103,103.8,7400,7.58,"06-May-2026",8,"",""
"36","71GS2034","GS",101.9,101.9,101.9,101.9,101.9,102,910,0.93,"06-May-2026",1,"",""
"37","724GS2055","GS",98.98,98.98,98.5,98.52,98.5,98.29,4103,4.04,"06-May-2026",9,"",""
"38","725GS2063","GS",98.4,99.19,98.4,99.16,99.19,98.4,30565,30.2,"06-May-2026",43,"",""
"39","726GS2033","GS",103.7,103.7,103.7,103.7,103.7,103.1,2700,2.8,"06-May-2026",2,"",""
"40","733GS2026","GS",100.5,100.5,100.42,100.42,100.42,100.29,1701,1.71,"06-May-2026",4,"",""
"41","734GS2064","GS",96.89,97.89,96.65,97.53,97.6,96.5,110681,107.48,"06-May-2026",44,"",""
"42","736GS2052","GS",97.5,97.5,97.5,97.5,97.5,100,5,0,"06-May-2026",1,"",""
"43","737GS2028","GS",102.73,102.73,102.1,102.1,102.1,102,2150,2.21,"06-May-2026",5,"",""
"44","738GS2027","GS",104.05,104.2,103.92,104.2,104.2,104,10317,10.73,"06-May-2026",22,"",""
"45","73GS2053","GS",100,100,99.99,100,100,99,14752,14.75,"06-May-2026",17,"",""
"46","741GS2036","GS",105.36,105.5,105.35,105.35,105.35,105.7,10408,10.98,"06-May-2026",5,"",""
"47","743GS2076","GS",100,101.25,100,100.05,100.05,99.86,2600,2.62,"06-May-2026",8,"",""
"48","746GS2073","GS",100,100,99.5,100,100,99.92,7594,7.59,"06-May-2026",32,"",""
"49","74GS2062","GS",101.95,101.95,101.95,101.95,101.95,97.11,11,0.01,"06-May-2026",1,"",""
"50","750GS2056","GS",98,98.5,98,98.5,98.5,98.5,2520,2.48,"06-May-2026",14,"",""
"51","754GS2036","GS",106.5,107.63,106.5,107.53,107.59,106.86,240649,258.04,"06-May-2026",121,"",""
"52","828GS2027","GS",145,145,145,145,145,138.8,1,0,"06-May-2026",1,"",""
"53","92GS2030","GS",111.7,112.6,111.7,112.45,112.45,111.9,4964,5.58,"06-May-2026",3,"",""
"54","A2ZINFRA","BE",16.49,16.81,15.86,16.14,16.2,16.49,330763,53.54,"06-May-2026",470,"",""
"55","AAATECH","EQ",102,102.01,99.8,99.97,99.8,101.57,17767,17.86,"06-May-2026",432,"",""
