"","SYMBOL","SERIES","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","TOTTRDQTY","TOTTRDVAL","TIMESTAMP","TOTALTRADES","ISIN","X"
"1","1018GS2026","GS",105,105,102.99,103.08,102.99,104.49,561,0.58,"10-Apr-2026",5,"",""
"2","20MICRONS","EQ",159.05,163.87,159.05,162.37,162.1,159.38,97771,158.23,"10-Apr-2026",2119,"",""
"3","21STCENMGM","EQ",30.34,30.34,29.75,30.34,30.34,29.75,5053,1.52,"10-Apr-2026",15,"",""
"4","360ONE","EQ",998,1022,992.65,1012.65,1013,998.1,1139241,11519.05,"10-Apr-2026",36706,"",""
"5","3IINFOLTD","EQ",15.5,15.86,15.36,15.69,15.86,15.37,372688,58.1,"10-Apr-2026",1112,"",""
"6","3MINDIA","EQ",31450,31705,31210,31475,31580,31050,3579,1127.39,"10-Apr-2026",1974,"",""
"7","3PLAND","EQ",35.2,35.55,34.1,35.35,35.35,35.05,3905,1.37,"10-Apr-2026",104,"",""
"8","574GS2026","GS",101.55,101.9,101.5,101.79,101.9,101.55,22022,22.41,"10-Apr-2026",10,"",""
"9","585GS2030","GS",98.85,98.85,98.85,98.85,98.85,98.85,1735,1.72,"10-Apr-2026",1,"",""
"10","591GS2028","GS",100,100,100,100,100,99.05,2000,2,"10-Apr-2026",1,"",""
"11","5PAISA","EQ",302.6,306.99,301.15,305.11,306.99,300.5,36337,110.55,"10-Apr-2026",911,"",""
"12","601GS2030","GS",97.71,97.71,97.7,97.7,97.7,97.7,121,0.12,"10-Apr-2026",3,"",""
"13","610GS2031","GS",101,101,98,99.89,99.89,101,3006,2.97,"10-Apr-2026",8,"",""
"14","622GS2035","GS",94.2,95.7,94.2,95.1,95.1,93.2,6190,5.85,"10-Apr-2026",8,"",""
"15","633GS2035","GS",97.65,97.95,97.65,97.95,97.95,97.95,11400,11.13,"10-Apr-2026",2,"",""
"16","63MOONS","EQ",557,567.8,545.25,549.7,551.5,550.95,153639,855.82,"10-Apr-2026",5424,"",""
"17","648GS2035","GS",98.88,98.88,97.1,97.51,97.1,97.52,3878,3.79,"10-Apr-2026",21,"",""
"18","662GS2051","GS",92.87,92.87,92.87,92.87,92.87,91,7,0.01,"10-Apr-2026",1,"",""
"19","664GS2035","GS",98.75,99,98.75,99,99,98.75,3000,2.97,"10-Apr-2026",2,"",""
"20","667GS2035","GS",99.15,99.15,99.15,99.15,99.15,99.75,80,0.08,"10-Apr-2026",1,"",""
"21","667GS2050","GS",92,93.45,91.1,93.45,93.45,93.45,12899,11.8,"10-Apr-2026",25,"",""
"22","668GS2040","GS",96.85,97,96.85,97,97,96.85,1100,1.07,"10-Apr-2026",2,"",""
"23","675GS2029","GS",100.5,100.5,100.5,100.5,100.5,100.36,1000,1.01,"10-Apr-2026",2,"",""
"24","676GS2061","GS",91.5,92.5,91.5,92.5,92.5,92,6005,5.5,"10-Apr-2026",7,"",""
"25","679GS2034","GS",99,99,98.25,98.46,98.5,98.47,11560,11.41,"10-Apr-2026",11,"",""
"26","679GS2034A","GS",97.51,97.51,97.51,97.51,97.51,97.51,99,0.1,"10-Apr-2026",1,"",""
"27","690GS2065","GS",94.8,94.83,94.2,94.49,94.64,93.9,33635,31.78,"10-Apr-2026",24,"",""
"28","695GS2061","GS",93,93.5,92.9,92.9,92.9,92.82,1939,1.8,"10-Apr-2026",10,"",""
"29","698GR2054","GS",95.31,98,95.31,98,98,95.32,1178,1.12,"10-Apr-2026",7,"",""
"30","699GS2026","GS",103,103.25,103,103.11,103.12,103,119209,122.85,"10-Apr-2026",24,"",""
"31","699GS2051","GS",94.25,94.25,94.25,94.25,94.25,94.25,8,0.01,"10-Apr-2026",1,"",""
"32","706GS2028","GS",102.2,102.5,101.5,101.7,101.7,103.5,400350,410.06,"10-Apr-2026",5,"",""
"33","706GS2046","GS",99,99,99,99,99,98.25,551,0.55,"10-Apr-2026",2,"",""
"34","709GS2054","GS",97.79,97.79,96.5,97.49,97.49,96.5,8556,8.29,"10-Apr-2026",9,"",""
"35","709GS2074","GS",95.25,95.5,95.16,95.23,95.2,95.15,20981,20.01,"10-Apr-2026",27,"",""
"36","710GS2029","GS",105.41,105.41,104.12,104.99,105,104,4026,4.23,"10-Apr-2026",5,"",""
"37","716GS2050","GS",102.95,102.95,102.95,102.95,102.95,102.42,20000,20.59,"10-Apr-2026",2,"",""
