"","SYMBOL","SERIES","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","TOTTRDQTY","TOTTRDVAL","TIMESTAMP","TOTALTRADES","ISIN","X"
"1","1018GS2026","GS",103,103,102.25,103,103,102.49,2089,2.15,"02-Apr-2026",9,"",""
"2","20MICRONS","EQ",141.62,151.59,141.13,149.9,149.97,147.48,105655,154.82,"02-Apr-2026",2545,"",""
"3","21STCENMGM","EQ",29.4,29.4,28.82,28.82,28.82,29.4,2087,0.6,"02-Apr-2026",48,"",""
"4","360ONE","EQ",936,940.25,915,933.85,939.4,953.05,636396,5920.47,"02-Apr-2026",22982,"",""
"5","3IINFOLTD","EQ",14.15,15.02,13.96,14.83,14.94,14.3,1209437,178.41,"02-Apr-2026",2154,"",""
"6","3MINDIA","EQ",29300,30095,28730,29735,29655,29395,8060,2383.49,"02-Apr-2026",5958,"",""
"7","3PLAND","EQ",31.5,32.9,30.03,32.48,32.48,31.46,1781,0.57,"02-Apr-2026",36,"",""
"8","563GS2026","GS",102.47,102.47,102.47,102.47,102.47,103,100,0.1,"02-Apr-2026",1,"",""
"9","585GS2030","GS",98.85,98.85,98.85,98.85,98.85,98.45,1,0,"02-Apr-2026",1,"",""
"10","5PAISA","EQ",261,293.99,253.13,285.38,279.8,270.21,124929,342.56,"02-Apr-2026",3237,"",""
"11","5PAISA-RE","BE",0.25,0.25,0.25,0.25,0.25,0.21,5156,0.01,"02-Apr-2026",68,"",""
"12","601GS2030","GS",97,97,97,97,97,97,100,0.1,"02-Apr-2026",1,"",""
"13","610GS2031","GS",101.98,101.98,101.98,101.98,101.98,99.5,2,0,"02-Apr-2026",2,"",""
"14","63MOONS","EQ",489.4,499.8,486.05,495.65,495,504.3,230611,1139.76,"02-Apr-2026",6353,"",""
"15","648GS2035","GS",99.5,99.5,99,99.5,99.5,99.5,933,0.92,"02-Apr-2026",3,"",""
"16","654GS2032","GS",99.45,99.45,99.45,99.45,99.45,99.1,35000,34.81,"02-Apr-2026",1,"",""
"17","662GS2051","GS",92.74,92.74,92.74,92.74,92.74,90,2,0,"02-Apr-2026",2,"",""
"18","664GS2035","GS",100,100.01,100,100.01,100.01,100.1,4000,4,"02-Apr-2026",6,"",""
"19","667GS2035","GS",100.15,100.15,100.15,100.15,100.15,99.5,2000,2,"02-Apr-2026",1,"",""
"20","667GS2050","GS",92.5,92.5,91.61,91.8,91.8,92.5,3330,3.05,"02-Apr-2026",27,"",""
"21","668GS2040","GS",97.16,97.2,97.16,97.2,97.2,97.16,500,0.49,"02-Apr-2026",2,"",""
"22","675GS2029","GS",101,101,101,101,101,100,1490,1.5,"02-Apr-2026",2,"",""
"23","676GS2061","GS",91.5,91.5,89.85,91,91,91.49,52790,47.51,"02-Apr-2026",96,"",""
"24","690GS2065","GS",93,93,92.14,92.21,92.24,93.76,129901,119.89,"02-Apr-2026",87,"",""
"25","692GS2039","GS",97.25,97.3,97.25,97.3,97.3,97,102,0.1,"02-Apr-2026",2,"",""
"26","695GS2061","GS",93,93.35,92.13,93.35,93.35,92.5,4263,3.97,"02-Apr-2026",20,"",""
"27","698GR2054","GS",95.32,95.32,95.32,95.32,95.32,93.89,113,0.11,"02-Apr-2026",3,"",""
"28","699GS2026","GS",103.15,103.15,102.1,102.35,102.1,103.15,5821,6,"02-Apr-2026",5,"",""
"29","699GS2051","GS",94.9,94.9,94,94,94,95.09,9123,8.59,"02-Apr-2026",28,"",""
"30","702GS2027","GS",101.05,103.5,101,103.5,103.5,103.55,1300,1.31,"02-Apr-2026",5,"",""
"31","706GS2028","GS",102.4,102.95,102.4,102.95,102.95,102.95,11711,12.05,"02-Apr-2026",2,"",""
"32","706GS2046","GS",99.5,99.5,99.5,99.5,99.5,99.5,2500,2.49,"02-Apr-2026",1,"",""
"33","709GS2054","GS",97.2,97.2,94.96,95.49,96,96.5,13598,12.99,"02-Apr-2026",16,"",""
"34","709GS2074","GS",94.5,94.5,93.72,93.74,94,94.52,668560,627.87,"02-Apr-2026",918,"",""
"35","710GS2029","GS",102.6,103.03,102.5,103.03,103.03,103,1970,2.02,"02-Apr-2026",4,"",""
"36","716GS2050","GS",104,104,104,104,104,104.9,90,0.09,"02-Apr-2026",1,"",""
"37","717GS2030","GS",102.25,103.3,102.15,103.3,103.3,103.25,15920,16.31,"02-Apr-2026",10,"",""
"38","718GS2033","GS",101.5,102,100.5,100.9,100.5,101.03,708626,717.62,"02-Apr-2026",34,"",""
"39","718GS2037","GS",101.5,101.9,100.64,100.78,100.64,101.42,871296,879.4,"02-Apr-2026",92,"",""
"40","719GS2060","GS",96,96,96,96,96,97,80,0.08,"02-Apr-2026",1,"",""
"41","724GS2055","GS",98.8,98.8,97.65,98.55,98.7,98.6,14153,13.95,"02-Apr-2026",25,"",""
"42","725GS2063","GS",97.9,97.9,96.51,96.67,96.6,97.6,164955,159.8,"02-Apr-2026",208,"",""
"43","726GS2032","GS",101.02,102,100,100.87,101.7,102.2,17431,17.64,"02-Apr-2026",24,"",""
