"","SYMBOL","SERIES","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","TOTTRDQTY","TOTTRDVAL","TIMESTAMP","TOTALTRADES","ISIN","X"
"1","1018GS2026","GS",104.2,105.5,104.2,105.5,105.5,104.19,320,0.34,"25-Sep-2025",5,"",""
"2","20MICRONS","EQ",227.2,228,223.65,225.34,226.2,227.74,84461,191.42,"25-Sep-2025",1247,"",""
"3","21STCENMGM","EQ",53.01,53.01,51.36,52.05,52,51.98,4045,2.13,"25-Sep-2025",130,"",""
"4","360ONE","EQ",1025,1029.2,1012,1022.1,1022.5,1026.5,892451,9119.48,"25-Sep-2025",41255,"",""
"5","3IINFOLTD","EQ",24.54,24.54,23.4,23.85,24,24.34,548649,132.06,"25-Sep-2025",2136,"",""
"6","3MINDIA","EQ",29520,29545,28790,28920,29155,29375,5293,1549.9,"25-Sep-2025",2102,"",""
"7","3PLAND","EQ",45.3,46.8,45.01,45.14,45.05,46.15,5145,2.34,"25-Sep-2025",159,"",""
"8","585GS2030","GS",97.5,97.5,97.5,97.5,97.5,97.75,300,0.29,"25-Sep-2025",1,"",""
"9","591GS2028","GS",100.05,101,99.75,101,101,100.05,1502,1.5,"25-Sep-2025",4,"",""
"10","5PAISA","EQ",362,364.35,355,357.2,355.1,362,12274,44.17,"25-Sep-2025",1048,"",""
"11","610GS2031","GS",99.7,99.7,99.5,99.5,99.5,97.25,2431,2.42,"25-Sep-2025",4,"",""
"12","613GS2028","GS",102.15,102.15,102.15,102.15,102.15,100.55,1,0,"25-Sep-2025",1,"",""
"13","633GS2035","GS",100,101.11,100,101.02,101.02,101.11,300,0.3,"25-Sep-2025",3,"",""
"14","63MOONS","EQ",916.95,923.05,886.05,889.8,892,915.35,118895,1078,"25-Sep-2025",6986,"",""
"15","654GS2032","GS",100.85,100.85,100.85,100.85,100.85,105.89,13643,13.76,"25-Sep-2025",1,"",""
"16","667GS2050","GS",95.37,95.5,95.2,95.2,95.2,95.37,4658,4.44,"25-Sep-2025",6,"",""
"17","668GS2040","GS",99.9,99.9,99.9,99.9,99.9,99.9,100,0.1,"25-Sep-2025",1,"",""
"18","676GS2061","GS",97.25,97.25,95.97,95.97,95.97,97.06,250002,240.53,"25-Sep-2025",412,"",""
"19","679GS2034","GS",102.3,102.3,101.28,101.28,101.28,102.3,1300,1.33,"25-Sep-2025",2,"",""
"20","68GS2060","GS",98,98,96.5,96.5,96.5,96.48,3000,2.93,"25-Sep-2025",3,"",""
"21","690GS2065","GS",98.5,99.5,98.5,99.5,99.5,98.08,13000,12.86,"25-Sep-2025",4,"",""
"22","692GS2039","GS",103.25,103.25,101.91,103,103,103.25,328,0.34,"25-Sep-2025",7,"",""
"23","695GS2061","GS",99,99.75,99,99.75,99.75,99.5,1001,1,"25-Sep-2025",2,"",""
"24","699GS2026","GS",103.67,103.67,103.6,103.61,103.6,103.63,19001,19.69,"25-Sep-2025",17,"",""
"25","699GS2051","GS",101,101,98.25,99.3,99.3,100.1,2541,2.52,"25-Sep-2025",6,"",""
"26","702GS2027","GS",102.7,102.7,100,101.25,101.25,102.7,1543,1.57,"25-Sep-2025",6,"",""
"27","704GS2029","GS",103.5,103.5,103.5,103.5,103.5,105.16,100,0.1,"25-Sep-2025",1,"",""
"28","706GS2028","GS",105.99,105.99,105.95,105.95,105.95,105.03,4200,4.45,"25-Sep-2025",2,"",""
"29","709GS2054","GS",100,100.05,99.81,100.01,100.05,99.98,54400,54.37,"25-Sep-2025",43,"",""
"30","709GS2074","GS",100.47,100.47,100.25,100.25,100.25,99.93,6502,6.52,"25-Sep-2025",5,"",""
"31","710GS2029","GS",105.95,106,105.95,106,106,106,40502,42.93,"25-Sep-2025",3,"",""
"32","717GS2030","GS",106,106,106,106,106,105.5,2000,2.12,"25-Sep-2025",3,"",""
"33","718GS2033","GS",104,104,104,104,104,104,2000,2.08,"25-Sep-2025",2,"",""
"34","718GS2037","GS",104.55,104.99,104.55,104.99,104.99,104.9,11702,12.28,"25-Sep-2025",11,"",""
"35","71GS2034","GS",106.7,106.7,106.7,106.7,106.7,104.4,5000,5.34,"25-Sep-2025",3,"",""
"36","723GS2039","GS",106.25,106.7,106,106.7,106.7,105.5,210,0.22,"25-Sep-2025",3,"",""
"37","724GS2055","GS",101,101,101,101,101,101,101,0.1,"25-Sep-2025",1,"",""
"38","725GS2063","GS",103.48,103.48,102,102.4,102.49,102,391033,399.16,"25-Sep-2025",96,"",""
"39","726GS2032","GS",104,104,103.85,103.85,103.85,104.65,12715,13.22,"25-Sep-2025",2,"",""
"40","732GS2030","GS",105.65,105.65,105.65,105.65,105.65,105.75,2000,2.11,"25-Sep-2025",1,"",""
"41","733GS2026","GS",104.5,104.5,104.5,104.5,104.5,103.73,4200,4.39,"25-Sep-2025",3,"",""
