"","SYMBOL","SERIES","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","TOTTRDQTY","TOTTRDVAL","TIMESTAMP","TOTALTRADES","ISIN","X"
"1","1018GS2026","GS",105,105,104,104.19,104,105,251,0.26,"24-Sep-2025",16,"",""
"2","20MICRONS","EQ",228,230.2,224.55,227.74,228.59,226.24,94523,215.08,"24-Sep-2025",1889,"",""
"3","21STCENMGM","EQ",53.7,53.7,51.85,51.98,51.85,52.87,2006,1.06,"24-Sep-2025",73,"",""
"4","360ONE","EQ",1022,1033,1005.1,1026.5,1022.1,1019.6,1158063,11869.75,"24-Sep-2025",45701,"",""
"5","3IINFOLTD","EQ",24.27,24.74,24.17,24.34,24.45,24.38,296263,72.27,"24-Sep-2025",1729,"",""
"6","3MINDIA","EQ",29950,29985,29280,29375,29340,29835,6646,1969.62,"24-Sep-2025",2035,"",""
"7","3PLAND","EQ",45.5,46.2,44.86,46.15,46.2,45.47,2425,1.11,"24-Sep-2025",99,"",""
"8","563GS2026","GS",102.3,102.3,102.3,102.3,102.3,102,62,0.06,"24-Sep-2025",1,"",""
"9","574GS2026","GS",100.8,101.95,100.8,101.95,101.95,101,74,0.07,"24-Sep-2025",4,"",""
"10","591GS2028","GS",100.5,100.5,99.6,100.05,100.05,100.85,501,0.5,"24-Sep-2025",8,"",""
"11","5PAISA","EQ",360,368.8,360,362,363.7,361.25,17804,64.82,"24-Sep-2025",1776,"",""
"12","610GS2031","GS",97.25,97.25,97.25,97.25,97.25,97.25,4,0,"24-Sep-2025",1,"",""
"13","628GS2032","GS",98,98,98,98,98,98,100,0.1,"24-Sep-2025",1,"",""
"14","633GS2035","GS",101.11,101.11,101.11,101.11,101.11,101.65,300,0.3,"24-Sep-2025",3,"",""
"15","63MOONS","EQ",926.85,941.5,914,915.35,915,925.85,126435,1169.87,"24-Sep-2025",5256,"",""
"16","654GS2032","GS",105.89,105.89,105.89,105.89,105.89,101.25,500,0.53,"24-Sep-2025",1,"",""
"17","667GS2035","GS",100.85,101.27,100.85,101.27,101.27,105.45,25992,26.32,"24-Sep-2025",8,"",""
"18","667GS2050","GS",94.61,97.7,94.61,95.37,95.37,98.5,199524,190.22,"24-Sep-2025",36,"",""
"19","668GS2040","GS",100,100,99.9,99.9,99.9,98.9,800,0.8,"24-Sep-2025",4,"",""
"20","676GS2061","GS",97.16,97.16,96.44,97.06,97.06,97.16,193409,187.21,"24-Sep-2025",366,"",""
"21","68GS2060","GS",92.67,96.5,92.67,96.48,96.5,95.05,7263,6.97,"24-Sep-2025",16,"",""
"22","692GS2039","GS",103.5,103.5,103.25,103.25,103.25,103,2001,2.07,"24-Sep-2025",2,"",""
"23","695GS2061","GS",99.99,99.99,99.5,99.5,99.5,99.99,1500,1.49,"24-Sep-2025",3,"",""
"24","698GR2054","GS",97.02,97.02,97.02,97.02,97.02,97.02,96,0.09,"24-Sep-2025",4,"",""
"25","699GS2026","GS",103.6,103.64,103.6,103.63,103.64,103.6,9234,9.57,"24-Sep-2025",12,"",""
"26","702GS2027","GS",102.7,102.7,98.07,102.7,102.7,102.7,4390,4.43,"24-Sep-2025",15,"",""
"27","706GS2028","GS",105.03,105.03,105.03,105.03,105.03,104.86,200,0.21,"24-Sep-2025",1,"",""
"28","709GS2054","GS",100.4,100.4,99.8,99.98,100.34,100.8,133310,133.35,"24-Sep-2025",165,"",""
"29","709GS2074","GS",99.5,100.4,99.5,99.93,99.91,100.24,51566,51.57,"24-Sep-2025",64,"",""
"30","710GS2029","GS",106,106.4,106,106,106.4,106,7404,7.85,"24-Sep-2025",10,"",""
"31","716GS2050","GS",101.5,101.5,100.51,100.51,100.51,101,876,0.88,"24-Sep-2025",9,"",""
"32","717GS2030","GS",105.5,105.5,105.5,105.5,105.5,107,400,0.42,"24-Sep-2025",1,"",""
"33","718GS2033","GS",104.7,104.9,103.75,104,104.8,105,26322,27.34,"24-Sep-2025",12,"",""
"34","718GS2037","GS",104.7,105.77,104.11,104.9,104.9,104.81,4101,4.28,"24-Sep-2025",9,"",""
"35","723GS2039","GS",105.5,105.5,105.5,105.5,105.5,104,1000,1.06,"24-Sep-2025",1,"",""
"36","724GS2055","GS",101,101,101,101,101,101,1901,1.92,"24-Sep-2025",3,"",""
"37","725GS2063","GS",103.48,103.48,101.85,102,102,101.99,81066,82.72,"24-Sep-2025",37,"",""
"38","726GS2032","GS",104.5,104.85,104,104.65,104.65,104.5,7420,7.73,"24-Sep-2025",9,"",""
"39","726GS2033","GS",105.15,105.2,104.25,104.25,104.25,105,1104,1.16,"24-Sep-2025",5,"",""
"40","727GS2026","GS",104,104,104,104,104,104.05,600,0.62,"24-Sep-2025",1,"",""
"41","732GS2030","GS",105.75,105.75,105.75,105.75,105.75,105.25,200,0.21,"24-Sep-2025",1,"",""
"42","734GS2064","GS",103.9,104.3,103,104.25,104.25,103.9,6839,7.07,"24-Sep-2025",10,"",""
"43","736GS2052","GS",100.81,102.34,100.8,101,101,101,2035,2.05,"24-Sep-2025",7,"",""
"44","737GS2028","GS",105.5,106.84,105.5,106.84,106.84,105.05,8719,9.23,"24-Sep-2025",4,"",""
"45","738GS2027","GS",104.31,104.66,104.31,104.35,104.35,104.62,23591,24.67,"24-Sep-2025",29,"",""
"46","741GS2036","GS",107.4,107.4,107.4,107.4,107.4,106.26,799,0.86,"24-Sep-2025",1,"",""
"47","746GS2073","GS",104.5,104.75,104,104.75,104.75,104.25,5059,5.27,"24-Sep-2025",13,"",""
"48","74GS2062","GS",101.6,101.6,100.5,100.53,100.5,100.96,15295,15.4,"24-Sep-2025",37,"",""
"49","754GS2036","GS",108.75,109.23,108.75,108.91,109.07,108.94,429544,467.99,"24-Sep-2025",129,"",""
"50","772GS2055","GS",110.5,110.5,110.5,110.5,110.5,111.29,400,0.44,"24-Sep-2025",1,"",""
"51","824GS2027","GS",103.06,104.35,103.06,104.35,104.35,103.01,898,0.94,"24-Sep-2025",4,"",""
"52","826GS2027","GS",103.8,103.81,103.8,103.81,103.81,103.01,96,0.1,"24-Sep-2025",3,"",""
"53","833GS2026","GS",102.25,102.26,102.25,102.26,102.26,103.3,2,0,"24-Sep-2025",2,"",""
"54","92GS2030","GS",118,118,118,118,118,118.5,850,1,"24-Sep-2025",1,"",""
"55","A2ZINFRA","BE",17.64,18.25,17.64,18.25,18.25,18,110159,19.61,"24-Sep-2025",86,"",""
"56","AAATECH","EQ",79.84,81.6,79.1,81.45,80,79.84,252109,205.04,"24-Sep-2025",700,"",""
"57","AADHARHFC","EQ",537.6,547.8,531.05,539.85,537.35,535.35,964495,5227.62,"24-Sep-2025",21776,"",""
"58","AAKAAR","SM",93,93,86,87.9,87.9,94.6,92800,82.34,"24-Sep-2025",57,"",""
"59","AAKASH","BE",10.12,10.12,9.51,9.99,10.02,9.92,108902,10.79,"24-Sep-2025",324,"",""
"60","AARADHYA","SM",138,155,138,150.15,155,137.2,58800,86.24,"24-Sep-2025",45,"",""
"61","AAREYDRUGS","BE",79.76,79.78,76,77.19,76.16,78.69,78371,60.55,"24-Sep-2025",251,"",""
"62","AARON","EQ",194.67,197.8,190,191.3,193.99,194.67,16243,31.45,"24-Sep-2025",1083,"",""
"63","AARTECH","EQ",54.28,54.97,53.11,53.33,54,54.28,38398,20.64,"24-Sep-2025",717,"",""
"64","AARTIDRUGS","EQ",514,520,508,517.2,517,515.85,106422,547.68,"24-Sep-2025",6319,"",""
"65","AARTIIND","EQ",388,389,381,383.35,381.5,386.55,408562,1574.19,"24-Sep-2025",12132,"",""
"66","AARTIPHARM","EQ",874.4,876.15,854.1,857.6,860,871.65,138476,1197.71,"24-Sep-2025",10532,"",""
"67","AARTISURF","EQ",480,482.95,475,476.25,477,478.05,4983,23.79,"24-Sep-2025",316,"",""
"68","AARTISURF","P1",121.2,175,121.2,172,172,150,239,0.29,"24-Sep-2025",7,"",""
"69","AARVEEDEN","BE",164,166.85,163,164.73,163.22,165.52,7467,12.27,"24-Sep-2025",97,"",""
"70","AARVI","EQ",123.6,129.37,123.6,126.63,126.42,126.11,9638,12.22,"24-Sep-2025",396,"",""
"71","AATMAJ","SM",21.5,21.5,20.3,21,21,21.5,22000,4.58,"24-Sep-2025",9,"",""
"72","AAVAS","EQ",1648.6,1677,1648.6,1669.9,1670,1655.4,59223,987.17,"24-Sep-2025",8526,"",""
"73","ABAN","BE",43.45,45.62,42.85,45.17,45.11,43.45,101285,44.81,"24-Sep-2025",513,"",""
"74","ABB","EQ",5298,5349.8,5223.6,5237.3,5230.1,5298.7,137979,7288.88,"24-Sep-2025",19086,"",""
"75","ABBOTINDIA","EQ",30380,30465,30090,30195,30170,30225,5501,1663.92,"24-Sep-2025",2420,"",""
"76","ABCAPITAL","EQ",291.45,299.4,290.5,291.95,292,291.45,9448934,27918.82,"24-Sep-2025",82573,"",""
"77","ABCOTS","EQ",474.95,504,440,452.1,440,456.5,137783,645.25,"24-Sep-2025",2879,"",""
"78","ABDL","EQ",531.7,539.15,525.25,535.3,532.95,531.7,284102,1512.66,"24-Sep-2025",11019,"",""
"79","ABFRL","EQ",92.52,92.74,90.6,91.13,90.91,92.03,5122368,4678.94,"24-Sep-2025",24388,"",""
"80","ABGSEC","EQ",110.24,110.72,110.19,110.45,110.72,110.22,74,0.08,"24-Sep-2025",7,"",""
"81","ABHAPOWER","ST",43.15,44.2,43.15,44.2,44.2,42.1,17600,7.73,"24-Sep-2025",11,"",""
"82","ABINFRA","EQ",188.45,194.39,185,187.58,186.5,188.45,35349,65.86,"24-Sep-2025",683,"",""
"83","ABLBL","EQ",140,142,135.1,135.89,136,140,1327305,1821.34,"24-Sep-2025",16689,"",""
"84","ABMINTLLTD","BE",41.03,41.03,41.03,41.03,41.03,41.87,310,0.13,"24-Sep-2025",11,"",""
"85","ABREL","EQ",1847.1,1863.3,1823,1845.1,1847,1846.9,65932,1215.67,"24-Sep-2025",8068,"",""
"86","ABSLAMC","EQ",810,822,806.9,812.1,812,810.75,430155,3498.18,"24-Sep-2025",20248,"",""
"87","ABSLBANETF","EQ",56.92,56.92,56.19,56.27,56.28,56.71,4921,2.77,"24-Sep-2025",246,"",""
"88","ABSLLIQUID","EQ",1000,1000.01,999.99,1000.01,1000.01,1000.01,1046,10.46,"24-Sep-2025",23,"",""
"89","ABSLNN50ET","EQ",73.39,73.39,71.9,71.95,72.36,72.73,6433,4.65,"24-Sep-2025",227,"",""
"90","ABSLPSE","EQ",10.15,10.15,10.05,10.06,10.1,10.1,112243,11.32,"24-Sep-2025",389,"",""
"91","ABSMARINE","SM",191,191,188,189.15,189.5,191.7,24000,45.39,"24-Sep-2025",47,"",""
"92","ACC","EQ",1874.4,1884,1858.9,1860.9,1860.7,1878.6,111343,2080.56,"24-Sep-2025",8301,"",""
"93","ACCELYA","EQ",1495,1499,1483,1488.3,1488,1495,13319,198.27,"24-Sep-2025",1910,"",""
"94","ACCENTMIC","ST",250,256.5,245,250,250,253.85,32000,80.01,"24-Sep-2025",49,"",""
"95","ACCPL","SM",64.2,64.2,60.05,60.85,61.9,64.2,37200,23.05,"24-Sep-2025",22,"",""
"96","ACCURACY","EQ",7.35,7.41,6.75,7.13,7.13,7.28,159242,11.45,"24-Sep-2025",663,"",""
"97","ACE","EQ",1157.5,1158,1135,1138.1,1136.5,1155.4,143290,1637.76,"24-Sep-2025",10725,"",""
"98","ACEINTEG","EQ",26.4,26.4,23.67,24.17,24.15,25.55,27902,6.81,"24-Sep-2025",381,"",""
"99","ACI","EQ",708.2,720,701.6,707.95,703.85,707.45,184288,1312.38,"24-Sep-2025",11278,"",""
"100","ACL","BE",90.42,91.1,90.42,91.1,91.1,92.27,49039,44.62,"24-Sep-2025",143,"",""
"101","ACLGATI","EQ",61.1,61.65,59.5,59.69,60,60.7,659190,397,"24-Sep-2025",4109,"",""
"102","ACMESOLAR","EQ",288.35,295,282.65,283.95,283.95,287.55,1020315,2947.88,"24-Sep-2025",22753,"",""
"103","ACTIVEINFR","SM",170,170,170,170,170,171.1,1200,2.04,"24-Sep-2025",2,"",""
"104","ACUTAAS","EQ",1450,1462,1442.5,1449.2,1450,1450.1,104320,1515.26,"24-Sep-2025",9232,"",""
"105","ADANIENSOL","EQ",920.9,924.8,887.05,889,891,925.1,2938215,26496.88,"24-Sep-2025",53567,"",""
"106","ADANIENT","EQ",2655,2676,2614.4,2619.8,2624,2676.4,1720785,45564.38,"24-Sep-2025",60770,"",""
"107","ADANIGREEN","EQ",1126,1141.7,1090.45,1095.25,1097.2,1131.45,7615653,84496.84,"24-Sep-2025",141577,"",""
"108","ADANIPORTS","EQ",1445,1452.4,1429.1,1431.6,1431.7,1441.6,2603193,37480.11,"24-Sep-2025",70692,"",""
"109","ADANIPOWER","EQ",163.25,163.7,142.1,144.5,144.8,162.35,135960455,206098.95,"24-Sep-2025",527461,"",""
"110","ADFFOODS","EQ",226.8,229,225,225.18,226,227.51,526451,1185.48,"24-Sep-2025",2599,"",""
"111","ADL","EQ",94,94,85,85.52,85.5,87.68,11147,9.9,"24-Sep-2025",203,"",""
"112","ADOR","EQ",1015,1020,995,1008.35,1003,1015.45,10054,101.16,"24-Sep-2025",1080,"",""
"113","ADROITINFO","EQ",10.97,11.32,10.22,10.62,10.99,10.97,27423,2.96,"24-Sep-2025",183,"",""
"114","ADSL","EQ",201,202.63,191.1,193.3,192.9,200.93,443599,865.73,"24-Sep-2025",7562,"",""
