"","SYMBOL","SERIES","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","TOTTRDQTY","TOTTRDVAL","TIMESTAMP","TOTALTRADES","ISIN","X"
"1","1018GS2026","GS",102.03,102.11,102,102.11,102.11,104.99,2004,2.04,"14-May-2026",6,"",""
"2","20MICRONS","EQ",179.24,182.26,175.15,177.54,179.9,176.43,116058,207.83,"14-May-2026",2223,"",""
"3","21STCENMGM","EQ",33.2,33.65,32.41,32.52,32.46,33.03,3973,1.3,"14-May-2026",46,"",""
"4","360ONE","EQ",1080.1,1106.7,1062,1102.1,1103.2,1077.5,403296,4390.39,"14-May-2026",17891,"",""
"5","3BBLACKBIO","EQ",1340,1376.9,1340,1370.6,1370,1290.8,35509,480.96,"14-May-2026",1818,"",""
"6","3IINFOLTD","EQ",17.79,17.79,17.1,17.23,17.32,17.61,180089,31.24,"14-May-2026",1190,"",""
"7","3MINDIA","EQ",31225,31360,30850,31195,31235,31070,1100,342.03,"14-May-2026",731,"",""
"8","3PLAND","EQ",33.02,33.02,32.52,32.62,32.62,33.49,2952,0.97,"14-May-2026",65,"",""
"9","5PAISA","EQ",314.95,314.95,302.3,306.25,304,310.25,41177,126.35,"14-May-2026",1728,"",""
"10","601GS2028","GS",98.4,98.4,98.25,98.25,98.25,98.26,1962,1.93,"14-May-2026",3,"",""
"11","601GS2030","GS",98.68,98.68,98.68,98.68,98.68,98.68,17500,17.27,"14-May-2026",4,"",""
"12","610GS2031","GS",102,102,102,102,102,102,1,0,"14-May-2026",1,"",""
"13","633GS2035","GS",97,97,97,97,97,97,50,0.05,"14-May-2026",2,"",""
"14","63MOONS","EQ",669.8,677.95,638.5,650.45,652.2,664.5,76274,496.61,"14-May-2026",3261,"",""
"15","648GS2035","GS",96.5,96.55,96.5,96.5,96.5,96.5,1400,1.35,"14-May-2026",10,"",""
"16","657GS2033","GS",98.46,100.5,98.45,100.5,100.5,101.45,3000,2.97,"14-May-2026",4,"",""
"17","664GS2027","GS",102.26,102.5,102.26,102.5,102.5,102.26,200,0.2,"14-May-2026",2,"",""
"18","668GS2040","GS",98.5,98.5,96.95,98.5,98.5,98.5,1000461,969.95,"14-May-2026",15,"",""
"19","676GS2061","GS",90.5,90.5,89.85,90,90,89.89,11916,10.72,"14-May-2026",34,"",""
"20","679GS2027","GS",100.7,100.7,100.7,100.7,100.7,103,2500000,2517.5,"14-May-2026",5,"",""
"21","679GS2031","GS",102,102,102,102,102,102,100,0.1,"14-May-2026",1,"",""
"22","68GS2060","GS",95.94,95.94,95.94,95.94,95.94,94.5,1,0,"14-May-2026",1,"",""
"23","690GS2065","GS",91.24,91.24,90.9,91,91,91.04,51534,46.95,"14-May-2026",20,"",""
"24","694GS2036","GS",98.6,100,98.5,100,100,100,704,0.69,"14-May-2026",13,"",""
"25","695GS2061","GS",95.4,95.4,95,95,95,93.5,121,0.11,"14-May-2026",3,"",""
"26","697GR2034","GS",96.01,96.01,96.01,96.01,96.01,96.01,100,0.1,"14-May-2026",1,"",""
"27","699GS2051","GS",95.61,95.61,94.71,94.83,94.71,95.51,10504,10.01,"14-May-2026",13,"",""
"28","706GS2028","GS",101.74,101.74,101.74,101.74,101.74,101.4,905,0.92,"14-May-2026",1,"",""
"29","709GS2054","GS",96.12,97,96.12,96.4,96.2,96.16,118210,114.07,"14-May-2026",42,"",""
"30","709GS2074","GS",96,97.4,96,96.19,96.19,96.06,1038,1,"14-May-2026",24,"",""
"31","710GS2029","GS",101.9,102.01,101.9,102.01,102.01,102.32,1420,1.45,"14-May-2026",4,"",""
"32","717GS2030","GS",102,102,99.51,101.99,102,102,11301,11.39,"14-May-2026",9,"",""
"33","718GS2033","GS",102.5,102.5,102.5,102.5,102.5,103,35000,35.88,"14-May-2026",6,"",""
"34","718GS2037","GS",103,103.35,102.6,102.9,102.9,103.9,131061,134.84,"14-May-2026",19,"",""
