"","SYMBOL","SERIES","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","TOTTRDQTY","TOTTRDVAL","TIMESTAMP","TOTALTRADES","ISIN","X"
"1","1018GS2026","GS",104.91,109,104.91,107.5,107.5,107.6,2086,2.24,"15-Sep-2025",11,"",""
"2","20MICRONS","EQ",227.11,227.69,223.61,225.27,225,226.58,137689,310.24,"15-Sep-2025",2604,"",""
"3","21STCENMGM","EQ",54,54.5,52.85,53.13,53.43,53.85,9388,5.02,"15-Sep-2025",116,"",""
"4","360ONE","EQ",1059.1,1082.9,1059,1079,1078.5,1068.8,353507,3782.58,"15-Sep-2025",24581,"",""
"5","3IINFOLTD","EQ",24.34,24.84,24.34,24.6,24.7,24.59,245917,60.49,"15-Sep-2025",1235,"",""
"6","3MINDIA","EQ",30965,31035,30500,30575,30585,30715,2503,770.78,"15-Sep-2025",1327,"",""
"7","3PLAND","EQ",45.59,45.59,44.53,44.76,45.27,44.66,4124,1.85,"15-Sep-2025",125,"",""
"8","563GS2026","GS",105.57,105.57,101.65,101.8,101.8,103,34,0.03,"15-Sep-2025",3,"",""
"9","574GS2026","GS",99.4,101.95,99.4,101.95,101.95,101.95,11,0.01,"15-Sep-2025",3,"",""
"10","5PAISA","EQ",372.2,372.2,363.3,365.45,366.6,369.95,19657,72.08,"15-Sep-2025",1361,"",""
"11","619GS2034","GS",101.89,101.89,101.89,101.89,101.89,101.89,5,0.01,"15-Sep-2025",1,"",""
"12","633GS2035","GS",100,100,100,100,100,100,1700,1.7,"15-Sep-2025",2,"",""
"13","63MOONS","EQ",940,941.95,926.05,929.45,928,941.6,68394,637.6,"15-Sep-2025",4456,"",""
"14","654GS2032","GS",100.5,101,100.5,101,101,103.3,2504,2.52,"15-Sep-2025",2,"",""
"15","667GS2050","GS",96,96,96,96,96,97.5,8,0.01,"15-Sep-2025",1,"",""
"16","668GS2040","GS",99,99,99,99,99,99,1001,0.99,"15-Sep-2025",2,"",""
"17","676GS2061","GS",97.5,97.55,97.5,97.5,97.5,97.5,109903,107.16,"15-Sep-2025",217,"",""
"18","679GS2031","GS",106.57,106.57,106.57,106.57,106.57,105,47,0.05,"15-Sep-2025",1,"",""
"19","68GS2060","GS",94.06,101,94.06,101,101,97,2,0,"15-Sep-2025",2,"",""
"20","690GS2065","GS",99,99,98.65,98.65,98.65,98.9,7310,7.22,"15-Sep-2025",17,"",""
"21","692GS2039","GS",103.25,103.25,103.25,103.25,103.25,102.8,500,0.52,"15-Sep-2025",1,"",""
"22","695GS2061","GS",97.5,97.5,97.5,97.5,97.5,100,12,0.01,"15-Sep-2025",2,"",""
"23","698GR2054","GS",101.96,101.96,101.96,101.96,101.96,99.48,1,0,"15-Sep-2025",1,"",""
"24","699GS2051","GS",101,101,101,101,101,101,250,0.25,"15-Sep-2025",1,"",""
"25","702GS2031","GS",103.5,103.6,103.5,103.6,103.6,103,1200,1.24,"15-Sep-2025",2,"",""
"26","704GS2029","GS",103.51,103.51,103.5,103.5,103.5,104.4,500,0.52,"15-Sep-2025",2,"",""
"27","706GS2028","GS",104.5,105.75,104.5,105.75,105.75,104.5,24100,25.48,"15-Sep-2025",9,"",""
"28","709GS2054","GS",100.24,100.24,100,100,100.1,100.34,11415,11.43,"15-Sep-2025",31,"",""
"29","709GS2074","GS",101.18,101.18,100.9,101,101,101.18,178302,180.01,"15-Sep-2025",128,"",""
"30","710GS2029","GS",105.63,105.63,104.61,104.65,104.65,105,20782,21.79,"15-Sep-2025",4,"",""
"31","716GS2050","GS",104,104,104,104,104,104,1,0,"15-Sep-2025",1,"",""
"32","717GS2030","GS",106.5,106.5,106.5,106.5,106.5,106.5,4300,4.58,"15-Sep-2025",2,"",""
"33","718GS2033","GS",105.75,105.75,105.75,105.75,105.75,103.5,23,0.02,"15-Sep-2025",1,"",""
"34","718GS2037","GS",105,105,104.9,105,105,105,310400,325.92,"15-Sep-2025",99,"",""
"35","723GS2039","GS",105,105,105,105,105,105,100,0.11,"15-Sep-2025",1,"",""
"36","724GS2055","GS",102.5,102.5,101.48,101.48,101.48,102.75,300,0.31,"15-Sep-2025",4,"",""
"37","725GS2063","GS",103.48,103.48,101,101.71,101.7,102,76836,77.81,"15-Sep-2025",67,"",""
"38","726GS2032","GS",103.55,103.55,103.55,103.55,103.55,104.08,900,0.93,"15-Sep-2025",1,"",""
"39","726GS2033","GS",104.1,104.83,104.1,104.5,104.5,104.51,10103,10.52,"15-Sep-2025",3,"",""
"40","732GS2030","GS",106.66,106.66,105.1,105.6,105.6,105.6,6500,6.84,"15-Sep-2025",7,"",""
"41","733GS2026","GS",104,104,104,104,104,104,100,0.1,"15-Sep-2025",1,"",""
"42","734GS2064","GS",104.15,104.15,103.11,103.87,103.8,103.93,7406,7.7,"15-Sep-2025",21,"",""
"43","736GS2052","GS",102.5,102.5,100.7,101.45,100.75,101,7885,7.97,"15-Sep-2025",18,"",""
"44","737GS2028","GS",105.05,105.7,105.05,105.7,105.7,105.5,3803,4,"15-Sep-2025",6,"",""
"45","738GS2027","GS",104.35,104.45,104.1,104.25,104.25,104.31,128757,134.34,"15-Sep-2025",21,"",""
"46","73GS2053","GS",102.15,102.15,102.1,102.1,102.1,102.9,120,0.12,"15-Sep-2025",2,"",""
"47","741GS2036","GS",106.5,107.25,106.3,106.51,106.51,106.2,32305,34.43,"15-Sep-2025",10,"",""
"48","746GS2073","GS",104.99,104.99,103.2,103.7,103.7,104.25,4675,4.85,"15-Sep-2025",7,"",""
"49","74GS2062","GS",104.99,104.99,101.83,104.3,104.3,104.45,574,0.6,"15-Sep-2025",20,"",""
"50","754GS2036","GS",108.51,108.64,108.49,108.56,108.57,108.6,469527,509.55,"15-Sep-2025",239,"",""
"51","75GS2034","GS",103.7,103.7,103.7,103.7,103.7,106.15,1000,1.04,"15-Sep-2025",1,"",""
"52","772GS2049","GS",108,108.6,108,108.6,108.6,108,990,1.07,"15-Sep-2025",3,"",""
"53","772GS2055","GS",102.81,106,102.81,106,106,105.45,101,0.11,"15-Sep-2025",3,"",""
"54","826GS2027","GS",104.75,105,103.8,103.8,103.8,103.8,1104,1.16,"15-Sep-2025",3,"",""
"55","82GS2025","GS",104,104,104,104,104,103.94,466,0.48,"15-Sep-2025",19,"",""
"56","832GS2032","GS",107.8,107.8,107.8,107.8,107.8,107.81,1000,1.08,"15-Sep-2025",1,"",""
"57","833GS2036","GS",110.3,114.15,110.3,114.15,114.15,114.75,3000,3.39,"15-Sep-2025",3,"",""
"58","92GS2030","GS",117,119.5,116.71,118.27,119.5,117.9,23816,28.14,"15-Sep-2025",10,"",""
"59","A2ZINFRA","BE",18.86,19,18.86,18.86,18.86,19.25,102594,19.4,"15-Sep-2025",136,"",""
"60","AAATECH","EQ",79.59,80.25,79.35,79.55,79.35,79.57,9246,7.38,"15-Sep-2025",244,"",""
"61","AADHARHFC","EQ",507,519.95,504.65,518.8,519.95,506.65,591860,3040.5,"15-Sep-2025",15157,"",""
"62","AAKAAR","SM",91,91,88.5,89,89,91,17600,15.82,"15-Sep-2025",11,"",""
"63","AAKASH","BE",9.77,10.14,9.77,9.97,9.99,10,171970,16.99,"15-Sep-2025",521,"",""
