"","SYMBOL","SERIES","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","TOTTRDQTY","TOTTRDVAL","TIMESTAMP","TOTALTRADES","ISIN","X"
"1","1018GS2026","GS",105.99,105.99,105.99,105.99,105.99,105.99,2668,2.83,"21-Oct-2025",7,"",""
"2","20MICRONS","EQ",211.98,213.3,210.21,212.28,212.8,208.86,20505,43.44,"21-Oct-2025",828,"",""
"3","21STCENMGM","EQ",49.37,49.37,47.61,48.05,48,48.41,1809,0.87,"21-Oct-2025",56,"",""
"4","360ONE","EQ",1200.1,1200.1,1170,1175.4,1172,1183.3,136457,1611.23,"21-Oct-2025",6954,"",""
"5","3IINFOLTD","EQ",19.11,19.32,19.08,19.17,19.18,19.07,157035,30.16,"21-Oct-2025",764,"",""
"6","3MINDIA","EQ",29940,29940,29710,29790,29840,29675,453,135.04,"21-Oct-2025",232,"",""
"7","3PLAND","EQ",44.14,44.14,41.15,42.12,41.5,41.1,1159,0.49,"21-Oct-2025",26,"",""
"8","515GS2025","GS",102.45,102.75,100.75,102.41,102.75,102.45,12,0.01,"21-Oct-2025",6,"",""
"9","591GS2028","GS",100.65,100.66,100.65,100.65,100.66,101.45,30,0.03,"21-Oct-2025",3,"",""
"10","5PAISA","EQ",311.55,316.5,311.55,315.75,316,312.45,14079,44.36,"21-Oct-2025",800,"",""
"11","601GS2030","GS",99.2,99.2,99.2,99.2,99.2,99.2,100,0.1,"21-Oct-2025",1,"",""
"12","628GS2032","GS",99.45,99.45,99.45,99.45,99.45,99.6,1500,1.49,"21-Oct-2025",1,"",""
"13","633GS2035","GS",101.71,101.71,100.7,100.7,100.7,100.7,2900,2.92,"21-Oct-2025",2,"",""
"14","63MOONS","EQ",805,808,795.05,803.8,800,801.05,15494,124.56,"21-Oct-2025",909,"",""
"15","648GS2035","GS",99,99,99,99,99,99.72,800,0.79,"21-Oct-2025",3,"",""
"16","675GS2029","GS",113,113,112,112,112,107.99,70,0.08,"21-Oct-2025",2,"",""
"17","676GS2061","GS",95.79,95.79,95.79,95.79,95.79,95.79,4904,4.7,"21-Oct-2025",5,"",""
"18","679GS2034A","GS",98,98,98,98,98,98,100,0.1,"21-Oct-2025",1,"",""
"19","68GS2060","GS",96.25,96.45,96.25,96.35,96.45,98.1,1000,0.96,"21-Oct-2025",2,"",""
"20","690GS2065","GS",97.3,97.3,97.3,97.3,97.3,96.99,1500,1.46,"21-Oct-2025",5,"",""
"21","702GS2031","GS",104,104,104,104,104,104,100,0.1,"21-Oct-2025",1,"",""
"22","706GS2028","GS",102.95,102.95,102.51,102.6,102.51,103.25,6000,6.16,"21-Oct-2025",3,"",""
"23","709GS2054","GS",101.7,102.46,101.7,102.39,102.39,101.7,20151,20.49,"21-Oct-2025",9,"",""
"24","709GS2074","GS",101.75,102.9,101.75,102.36,102.35,101.75,7813,7.98,"21-Oct-2025",23,"",""
"25","716GS2050","GS",101.01,101.01,101.01,101.01,101.01,101.01,1000,1.01,"21-Oct-2025",1,"",""
"26","717GS2030","GS",108.5,108.5,108.5,108.5,108.5,104.2,1,0,"21-Oct-2025",1,"",""
"27","718GS2033","GS",104.25,104.25,104.25,104.25,104.25,105.2,100,0.1,"21-Oct-2025",1,"",""
"28","718GS2037","GS",105.5,105.5,105.5,105.5,105.5,105.1,2001,2.11,"21-Oct-2025",2,"",""
"29","725GS2063","GS",104.9,104.9,104.05,104.21,104.49,104,1574,1.64,"21-Oct-2025",5,"",""
"30","726GS2032","GS",105,105,105,105,105,105.3,500,0.53,"21-Oct-2025",2,"",""
"31","726GS2033","GS",106,106,106,106,106,104.71,1,0,"21-Oct-2025",1,"",""
"32","732GS2030","GS",106.3,106.3,106.3,106.3,106.3,106.5,300,0.32,"21-Oct-2025",3,"",""
"33","733GS2026","GS",104.3,104.5,104.3,104.5,104.5,104.3,1210,1.26,"21-Oct-2025",4,"",""
"34","734GS2064","GS",103,103,101.95,101.98,101.95,102.04,34060,34.84,"21-Oct-2025",38,"",""
"35","737GS2028","GS",104,104,103.16,103.16,103.16,104.2,100,0.1,"21-Oct-2025",3,"",""
"36","738GS2027","GS",105.2,105.3,104.25,105.3,105.3,105.22,42105,44.12,"21-Oct-2025",12,"",""
"37","73GS2053","GS",106.25,106.25,106.25,106.25,106.25,104.95,1,0,"21-Oct-2025",1,"",""
"38","746GS2073","GS",107.35,107.35,107.34,107.34,107.34,106.8,28,0.03,"21-Oct-2025",2,"",""
"39","74GS2062","GS",103.6,103.6,103.6,103.6,103.6,103.4,16,0.02,"21-Oct-2025",4,"",""
"40","754GS2036","GS",109.53,109.79,109.53,109.66,109.7,109.5,15411,16.9,"21-Oct-2025",38,"",""
"41","757GS2033","GS",107.75,107.75,107.75,107.75,107.75,108,1934,2.08,"21-Oct-2025",1,"",""
"42","75GS2034","GS",107,107,107,107,107,107,640,0.68,"21-Oct-2025",1,"",""
"43","813GS2045","GS",116.25,116.25,116.25,116.25,116.25,111.41,1,0,"21-Oct-2025",1,"",""
"44","92GS2030","GS",115,115,114.99,114.99,115,115,3224,3.71,"21-Oct-2025",6,"",""
"45","A2ZINFRA","BE",15.88,16.64,15.62,16.43,16.64,15.85,193684,31.68,"21-Oct-2025",254,"",""
"46","AAATECH","BE",82.79,86.92,81.33,86.83,86.92,82.79,29840,25.5,"21-Oct-2025",286,"",""
"47","AADHARHFC","EQ",516.45,521.05,511.7,515.65,515,513.75,83964,433.18,"21-Oct-2025",4144,"",""
"48","AAKAAR","SM",84,84.05,83.55,84,84.05,84.6,11200,9.4,"21-Oct-2025",6,"",""
