"","SYMBOL","SERIES","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","TOTTRDQTY","TOTTRDVAL","TIMESTAMP","TOTALTRADES","ISIN","X"
"1","1018GS2026","GS",104.05,104.05,104.05,104.05,104.05,104,1,0,"01-Oct-2025",1,"",""
"2","20MICRONS","EQ",208.35,215.49,208.35,213.99,214,207.16,117495,249.61,"01-Oct-2025",3188,"",""
"3","21STCENMGM","EQ",51,52.29,50.52,51.09,51.78,51.56,2550,1.3,"01-Oct-2025",78,"",""
"4","360ONE","EQ",1028.9,1040.2,1013,1036.5,1039,1024,593561,6069.5,"01-Oct-2025",27625,"",""
"5","3IINFOLTD","EQ",21.46,21.8,21.33,21.58,21.71,21.57,310846,67.2,"01-Oct-2025",1434,"",""
"6","3MINDIA","EQ",29255,29300,28975,29135,29125,29445,2660,774.16,"01-Oct-2025",1773,"",""
"7","3PLAND","EQ",42.12,45.1,42.12,43.28,43.39,42.91,5550,2.41,"01-Oct-2025",81,"",""
"8","515GS2025","GS",102.45,102.45,102.45,102.45,102.45,102.45,49,0.05,"01-Oct-2025",2,"",""
"9","585GS2030","GS",98.31,98.31,98.31,98.31,98.31,97.5,100,0.1,"01-Oct-2025",1,"",""
"10","591GS2028","GS",100,100,100,100,100,100,5,0.01,"01-Oct-2025",1,"",""
"11","5PAISA","EQ",341.3,351.6,341.3,349.2,351.1,343.2,8292,28.85,"01-Oct-2025",1063,"",""
"12","601GS2030","GS",100.25,100.25,99,99,99,98.2,599,0.6,"01-Oct-2025",4,"",""
"13","610GS2031","GS",99.7,99.7,99.7,99.7,99.7,99.7,1000,1,"01-Oct-2025",2,"",""
"14","628GS2032","GS",100.35,100.35,100.35,100.35,100.35,98,3700,3.71,"01-Oct-2025",3,"",""
"15","63MOONS","EQ",845.7,856,833.85,852.6,849.95,837.55,119827,1015.81,"01-Oct-2025",6280,"",""
"16","667GS2050","GS",95.8,95.8,95.15,95.15,95.15,95.49,7257,6.91,"01-Oct-2025",4,"",""
"17","668GS2040","GS",99.9,99.9,99.8,99.8,99.8,100,6397,6.39,"01-Oct-2025",3,"",""
"18","676GS2061","GS",95.99,95.99,93,93.67,93.74,94.1,705982,660.31,"01-Oct-2025",84,"",""
"19","679GS2034","GS",103.3,103.3,103.3,103.3,103.3,103.45,8050,8.32,"01-Oct-2025",2,"",""
"20","68GS2060","GS",95.4,95.4,95,95,95,96,32829,31.19,"01-Oct-2025",35,"",""
"21","690GS2065","GS",98.98,99.29,98.5,99.29,99.29,98.54,4596,4.55,"01-Oct-2025",12,"",""
"22","695GS2061","GS",100,100,99.5,99.5,99.5,99.5,1000,1,"01-Oct-2025",2,"",""
"23","699GS2026","GS",101.35,103.6,101.35,103.46,103.46,103.6,3035,3.14,"01-Oct-2025",5,"",""
"24","699GS2051","GS",101,101,101,101,101,100.5,500,0.51,"01-Oct-2025",1,"",""
"25","702GS2027","GS",103.07,103.08,103.07,103.08,103.08,103.06,6642,6.85,"01-Oct-2025",4,"",""
"26","702GS2031","GS",103.2,103.2,102.75,102.75,102.75,103.2,10100,10.42,"01-Oct-2025",3,"",""
"27","706GS2028","GS",104.75,104.75,104.75,104.75,104.75,105,5000,5.24,"01-Oct-2025",1,"",""
"28","709GS2054","GS",100.5,100.5,99.81,100.21,100.5,100.34,102641,102.7,"01-Oct-2025",47,"",""
"29","709GS2074","GS",99.95,100.65,99.12,100.5,100.65,100.12,33216,33.21,"01-Oct-2025",58,"",""
"30","710GS2029","GS",106,106,106,106,106,106,100,0.11,"01-Oct-2025",2,"",""
"31","718GS2033","GS",103.15,104,103.15,103.5,103.5,104,862,0.89,"01-Oct-2025",3,"",""
"32","718GS2037","GS",105.5,105.5,104.7,104.7,104.7,104.75,1801,1.89,"01-Oct-2025",4,"",""
"33","719GS2060","GS",98,98,98,98,98,98,1,0,"01-Oct-2025",1,"",""
"34","724GS2055","GS",101,101.1,101,101,101,101,300,0.3,"01-Oct-2025",3,"",""
"35","725GS2063","GS",103,103,101.9,102.11,102.11,102,11091,11.35,"01-Oct-2025",20,"",""
"36","726GS2032","GS",104.15,104.15,104.15,104.15,104.15,104.11,601,0.63,"01-Oct-2025",5,"",""
"37","726GS2033","GS",103.7,104,103.5,103.5,103.5,104.05,11931,12.38,"01-Oct-2025",4,"",""
"38","732GS2030","GS",105.65,106,105.65,105.67,105.67,105.65,610,0.65,"01-Oct-2025",5,"",""
"39","733GS2026","GS",104.2,104.28,103.71,103.71,103.71,104.5,1699,1.77,"01-Oct-2025",5,"",""
"40","734GS2064","GS",104.3,104.3,104,104.2,104.25,103.9,1821,1.9,"01-Oct-2025",7,"",""
"41","736GS2052","GS",101,102.34,101,102.3,102.3,102.49,1999,2.03,"01-Oct-2025",4,"",""
"42","737GS2028","GS",105.6,106.2,105.6,106.2,106.2,106.2,1100,1.16,"01-Oct-2025",6,"",""
