"","SYMBOL","SERIES","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","TOTTRDQTY","TOTTRDVAL","TIMESTAMP","TOTALTRADES","ISIN","X"
"1","1018GS2026","GS",108.9,108.9,108.05,108.05,108.05,108.9,922,1,"03-Sep-2025",5,"",""
"2","20MICRONS","EQ",234.9,237.49,227.35,232.51,232.02,232.56,141810,331.19,"03-Sep-2025",3324,"",""
"3","21STCENMGM","EQ",53.2,54.2,52.41,54.12,54.19,53.22,3697,1.98,"03-Sep-2025",101,"",""
"4","360ONE","EQ",1020.7,1044.9,1013.3,1040.2,1041,1024.8,883948,9121.84,"03-Sep-2025",38476,"",""
"5","3IINFOLTD","EQ",23.69,23.69,23.14,23.4,23.46,23.4,155647,36.39,"03-Sep-2025",1345,"",""
"6","3MINDIA","EQ",31400,31540,30850,30980,30980,31090,3207,1002.03,"03-Sep-2025",1377,"",""
"7","3PLAND","EQ",46.24,46.24,45.22,45.81,45.83,45.07,3768,1.72,"03-Sep-2025",107,"",""
"8","574GS2026","GS",100.8,100.8,100.8,100.8,100.8,101.75,2,0,"03-Sep-2025",1,"",""
"9","591GS2028","GS",99.5,99.5,99.5,99.5,99.5,100,200,0.2,"03-Sep-2025",1,"",""
"10","5PAISA","EQ",362.3,369.9,358.6,362.55,358.6,362.3,16351,59.79,"03-Sep-2025",1895,"",""
"11","610GS2031","GS",97.25,97.25,97.25,97.25,97.25,97.25,6,0.01,"03-Sep-2025",2,"",""
"12","628GS2032","GS",99,99,98.5,98.5,98.5,100.49,1500,1.48,"03-Sep-2025",3,"",""
"13","633GS2035","GS",99.1,99.1,99.1,99.1,99.1,100,100,0.1,"03-Sep-2025",1,"",""
"14","63MOONS","EQ",927.85,931.45,918.3,919.65,920.95,924.3,69712,643.64,"03-Sep-2025",5141,"",""
"15","654GS2032","GS",99.85,100.1,99.85,100.1,100.1,100.5,10,0.01,"03-Sep-2025",2,"",""
"16","664GS2027","GS",101.8,101.8,101.8,101.8,101.8,101.8,400,0.41,"03-Sep-2025",3,"",""
"17","667GS2050","GS",98,98,98,98,98,97.99,70,0.07,"03-Sep-2025",1,"",""
"18","668GS2040","GS",99,99,98.46,98.67,98.46,102,500,0.49,"03-Sep-2025",5,"",""
"19","676GS2061","GS",97.5,98,97.5,98,98,97.5,10006,9.76,"03-Sep-2025",5,"",""
"20","690GS2065","GS",97.94,98,97.2,97.92,97.92,97.94,3731,3.65,"03-Sep-2025",36,"",""
"21","692GS2039","GS",100.98,101.03,100.98,101.03,101.03,102,1100,1.11,"03-Sep-2025",2,"",""
"22","698GR2054","GS",98.99,99.29,98.99,99.29,99.29,98.99,2,0,"03-Sep-2025",2,"",""
"23","699GS2051","GS",96.85,99.27,96.85,98.25,98.25,100,607,0.6,"03-Sep-2025",6,"",""
"24","702GS2027","GS",102.71,102.71,102.71,102.71,102.71,103.75,100,0.1,"03-Sep-2025",1,"",""
"25","706GS2028","GS",104.1,105.3,104.08,105.3,105.3,104.3,1710,1.78,"03-Sep-2025",3,"",""
"26","709GS2054","GS",98.5,101,98.5,100,100,99,3913,3.9,"03-Sep-2025",11,"",""
"27","709GS2074","GS",99.4,99.4,98.5,98.99,99,98.74,47140,46.7,"03-Sep-2025",50,"",""
"28","710GS2029","GS",104.4,105.39,104.35,104.93,105.39,104.6,17597,18.4,"03-Sep-2025",17,"",""
"29","716GS2050","GS",102.01,102.01,102.01,102.01,102.01,104.5,8985,9.17,"03-Sep-2025",12,"",""
"30","718GS2033","GS",104,104,104,104,104,103.99,3500,3.64,"03-Sep-2025",1,"",""
"31","718GS2037","GS",103.51,103.85,103.51,103.85,103.85,103.85,7655,7.92,"03-Sep-2025",10,"",""
"32","719GS2060","GS",98.9,101,98.9,101,101,99.1,2546,2.55,"03-Sep-2025",2,"",""
"33","724GS2055","GS",100.3,100.89,100.3,100.85,100.85,100.6,2100,2.12,"03-Sep-2025",5,"",""
"34","725GS2063","GS",101.25,101.25,100.56,100.92,100.8,100.66,67848,68.46,"03-Sep-2025",46,"",""
"35","726GS2032","GS",105,105,104.25,104.25,104.25,103.11,600,0.63,"03-Sep-2025",4,"",""
"36","726GS2033","GS",103.5,104,103.5,103.51,103.51,102.81,2000,2.07,"03-Sep-2025",4,"",""
"37","733GS2026","GS",103.46,104,103.46,103.53,103.53,103.41,2100,2.18,"03-Sep-2025",4,"",""
"38","734GS2064","GS",103,103,102.21,102.26,102.21,103,55625,57.08,"03-Sep-2025",32,"",""
"39","735NABAR31","N1",1130,1130,1130,1130,1130,1140.5,10,0.11,"03-Sep-2025",2,"",""
"40","736GS2052","GS",104,104.1,104,104.1,104.1,103.99,55,0.06,"03-Sep-2025",6,"",""
"41","737GS2028","GS",105.5,105.5,105.2,105.2,105.2,104.25,2400,2.53,"03-Sep-2025",4,"",""
"42","738GS2027","GS",103.85,104.25,103.85,104.23,104.25,103.85,31860,33.14,"03-Sep-2025",21,"",""
"43","73GS2053","GS",102.99,102.99,101.6,102.54,102.6,102.99,8925,9.15,"03-Sep-2025",16,"",""
"44","741GS2036","GS",107.75,107.75,107.75,107.75,107.75,107.75,10,0.01,"03-Sep-2025",1,"",""
"45","746GS2073","GS",102.5,103.24,102.5,103.24,103.24,102.35,25224,25.88,"03-Sep-2025",18,"",""
"46","74GS2062","GS",104.25,104.25,102.95,103.35,102.95,103.94,45262,46.63,"03-Sep-2025",21,"",""
"47","754GS2036","GS",108.05,108.54,108.01,108.47,108.5,108.12,200567,217.18,"03-Sep-2025",190,"",""
"48","759GS2026","GS",101.37,101.37,101.37,101.37,101.37,101.37,171,0.17,"03-Sep-2025",1,"",""
"49","75GS2034","GS",107,107.5,107,107.5,107.5,105,1001,1.07,"03-Sep-2025",3,"",""
"50","772GS2055","GS",110.96,110.96,105.44,105.44,105.44,110.99,501,0.56,"03-Sep-2025",2,"",""
"51","795GS2032","GS",109,109,109,109,109,107,5,0.01,"03-Sep-2025",1,"",""
"52","824GS2027","GS",102.81,102.81,102.81,102.81,102.81,102.76,920,0.95,"03-Sep-2025",2,"",""
"53","824GS2033","GS",113.01,113.01,113.01,113.01,113.01,113,100,0.11,"03-Sep-2025",1,"",""
"54","833GS2026","GS",102.25,102.25,102.25,102.25,102.25,107,1460,1.49,"03-Sep-2025",3,"",""
"55","83GS2042","GS",113,113,113,113,113,113,100,0.11,"03-Sep-2025",1,"",""
"56","92GS2030","GS",117,117,117,117,117,116,156,0.18,"03-Sep-2025",2,"",""
"57","A2ZINFRA","BE",21.18,21.94,20.51,21.94,21.94,20.9,436224,93.68,"03-Sep-2025",527,"",""
"58","AAATECH","EQ",79.3,80,79.01,79.05,79.01,79.3,9722,7.73,"03-Sep-2025",290,"",""
"59","AADHARHFC","EQ",505.5,518.9,505.5,515.4,515.4,507.9,746754,3841.49,"03-Sep-2025",10319,"",""
"60","AAKAAR","SM",93.75,93.75,90,90,90,93.25,24000,22.21,"03-Sep-2025",13,"",""
"61","AAKASH","BE",10.41,10.49,10.08,10.29,10.2,10.36,120885,12.37,"03-Sep-2025",363,"",""
"62","AARADHYA","SM",116,116,115,115,115,117,14400,16.62,"03-Sep-2025",3,"",""
"63","AAREYDRUGS","BE",68,69.62,67.65,69.62,69.62,66.31,91377,63.38,"03-Sep-2025",405,"",""
"64","AARON","EQ",213.76,213.76,210.41,211.73,211,213.76,16370,34.63,"03-Sep-2025",824,"",""
"65","AARTECH","EQ",62.01,63.87,58.76,58.98,58.76,61.86,86092,51.64,"03-Sep-2025",1127,"",""
"66","AARTIDRUGS","EQ",469.9,497,469.6,490.4,489.95,469.55,344309,1671.01,"03-Sep-2025",18001,"",""
"67","AARTIIND","EQ",385.65,389,383.2,385.45,386.5,383.05,639227,2462.55,"03-Sep-2025",17663,"",""
"68","AARTIPHARM","EQ",875,888.9,865.6,879.2,880,870.2,275311,2414.01,"03-Sep-2025",21332,"",""
"69","AARTISURF","BE",477.9,485,468.7,482.8,484.5,469.55,4792,22.91,"03-Sep-2025",177,"",""
"70","AARTISURF","P1",171,171,171,171,171,171,5,0.01,"03-Sep-2025",1,"",""
"71","AARVEEDEN","BE",181,181,177,177.38,177.5,180.1,7978,14.21,"03-Sep-2025",117,"",""
"72","AARVI","EQ",123.5,129.25,121.08,126.34,126.9,122.89,58682,73.33,"03-Sep-2025",3249,"",""
"73","AAVAS","EQ",1527.1,1619.8,1527.1,1601,1600,1528.3,612508,9775.58,"03-Sep-2025",48622,"",""
"74","ABAN","EQ",45.3,45.32,42.93,44.32,44.34,46.19,309553,135.98,"03-Sep-2025",3512,"",""
"75","ABB","EQ",5150,5209.9,5148.2,5188.4,5186.9,5148.2,213167,11057.03,"03-Sep-2025",25845,"",""
"76","ABBOTINDIA","EQ",32495,32775,32155,32575,32490,32495,5036,1638.84,"03-Sep-2025",2437,"",""
"77","ABCAPITAL","EQ",274.85,280,272.7,279.25,279.8,274.85,3806579,10558.49,"03-Sep-2025",35776,"",""
"78","ABCOTS","SM",405,408,398.05,407.45,407.95,408.3,5000,20.27,"03-Sep-2025",14,"",""
"79","ABDL","EQ",509.6,513.2,491.1,492.85,493.5,507.4,391366,1951.65,"03-Sep-2025",15327,"",""
"80","ABFRL","EQ",83.2,83.23,80.9,81.41,81.5,83.32,5568515,4546.57,"03-Sep-2025",30643,"",""
"81","ABGSEC","EQ",109.24,109.34,108.82,109.34,109.34,109.39,276,0.3,"03-Sep-2025",9,"",""
"82","ABHAPOWER","ST",48,48,45.05,46.6,47.35,46.05,19200,8.85,"03-Sep-2025",12,"",""
"83","ABINFRA","BE",201.71,211.79,201,210.22,204.5,201.71,64290,134.23,"03-Sep-2025",673,"",""
"84","ABLBL","EQ",142.5,143.9,141.25,143.05,143.14,140.96,850274,1212.53,"03-Sep-2025",13414,"",""
"85","ABMINTLLTD","BE",44.5,45,44.28,45,45,43.78,694,0.31,"03-Sep-2025",13,"",""
"86","ABREL","EQ",1825,1839,1807.3,1818.9,1819.9,1821.3,43614,794.27,"03-Sep-2025",6105,"",""
"87","ABSLAMC","EQ",822.25,840,822.2,833.5,836,826.3,124831,1039.02,"03-Sep-2025",9098,"",""
"88","ABSLBANETF","EQ",54.91,55.47,54.69,55.16,55.47,54.91,271672,149.58,"03-Sep-2025",1102,"",""
"89","ABSLLIQUID","EQ",999.99,1000.01,999.99,999.99,1000.01,1000,1453,14.53,"03-Sep-2025",19,"",""
"90","ABSLNN50ET","EQ",70.9,70.9,70.2,70.44,70.59,70.17,3640,2.57,"03-Sep-2025",177,"",""
"91","ABSLPSE","EQ",9.73,9.8,9.69,9.71,9.71,9.69,58234,5.66,"03-Sep-2025",888,"",""
"92","ABSMARINE","SM",182.55,185.8,178.55,184.2,184.3,181.2,39000,71.31,"03-Sep-2025",74,"",""
