"","SYMBOL","SERIES","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","TOTTRDQTY","TOTTRDVAL","TIMESTAMP","TOTALTRADES","ISIN","X"
"1","1018GS2026","GS",104.35,104.35,104.01,104.05,104.01,104.25,2001,2.08,"27-Jul-2026",10,"",""
"2","20MICRONS","EQ",205.25,211.47,203.05,204,203.87,204.23,151604,313.26,"27-Jul-2026",3578,"",""
"3","21STCENMGM","EQ",37.85,37.85,37.85,37.85,37.85,37.11,4700,1.78,"27-Jul-2026",27,"",""
"4","360ONE","EQ",1116.3,1136.9,1103.1,1132.7,1129.3,1102.3,928617,10465.98,"27-Jul-2026",40785,"",""
"5","3BBLACKBIO","EQ",1282,1314.8,1263.8,1292.3,1297.6,1278.1,9178,118.67,"27-Jul-2026",1013,"",""
"6","3IINFOLTD","EQ",19.9,21.38,19.5,20.68,20.32,19.74,1627856,335.99,"27-Jul-2026",4854,"",""
"7","3MINDIA","EQ",35790,35830,35150,35195,35195,35500,1279,451.96,"27-Jul-2026",916,"",""
"8","3PLAND","EQ",34.5,34.5,31.5,32.29,32.98,31.57,5697,1.84,"27-Jul-2026",118,"",""
"9","574GS2026","GS",101.45,101.45,100,100,100,100.39,1001,1.01,"27-Jul-2026",4,"",""
"10","591GS2028","GS",98.31,98.31,98.31,98.31,98.31,99,17800,17.5,"27-Jul-2026",3,"",""
"11","5PAISA","EQ",375.45,381.95,368,369.25,368.5,373.1,34073,126.33,"27-Jul-2026",1737,"",""
"12","601GS2030","GS",99,99,98,98,98,98,136400,133.87,"27-Jul-2026",14,"",""
"13","603GS2029","GS",101,101,100,100,100,101,400,0.4,"27-Jul-2026",3,"",""
"14","610GS2031","GS",102.85,102.85,102.85,102.85,102.85,102.45,1,0,"27-Jul-2026",1,"",""
"15","63MOONS","EQ",711.1,746.85,705.1,728.8,728,708.3,227517,1667.86,"27-Jul-2026",9407,"",""
"16","648GS2035","GS",98.11,98.5,98.11,98.5,98.5,99,200,0.2,"27-Jul-2026",2,"",""
"17","654GS2032","GS",99.8,99.8,99.8,99.8,99.8,99.56,16,0.02,"27-Jul-2026",1,"",""
"18","664GS2035","GS",97.46,97.46,97.46,97.46,97.46,97.46,2,0,"27-Jul-2026",2,"",""
"19","667GS2050","GS",91,92.75,91,92.75,92.75,93,5551,5.09,"27-Jul-2026",15,"",""
"20","668GS2033","GS",99.8,100,98.41,100,100,99.85,3530,3.5,"27-Jul-2026",5,"",""
"21","668GS2040","GS",98.37,98.37,97,97,97,98.05,136400,132.35,"27-Jul-2026",21,"",""
"22","676GS2061","GS",92.52,93.5,92.52,92.8,92.83,92.52,61907,57.45,"27-Jul-2026",33,"",""
"23","679GS2031","GS",100,100,99,99.15,99,100,5300,5.26,"27-Jul-2026",13,"",""
"24","690GS2065","GS",94,94.2,93.35,93.55,93.55,93.37,15011,14.05,"27-Jul-2026",23,"",""
"25","694GS2036","GS",102.01,102.01,102.01,102.01,102.01,102.4,200,0.2,"27-Jul-2026",2,"",""
"26","695GS2061","GS",94,94,93,93.12,93,94,501,0.47,"27-Jul-2026",4,"",""
"27","699GS2051","GS",97.8,97.8,95,95,95,97.5,252,0.25,"27-Jul-2026",3,"",""
"28","702GS2027","GS",101.25,101.26,101,101.26,101.26,101.2,24904,25.2,"27-Jul-2026",15,"",""
"29","702GS2031","GS",102.8,102.8,102.8,102.8,102.8,102.79,42,0.04,"27-Jul-2026",1,"",""
"30","704GS2029","GS",101.55,101.55,101.55,101.55,101.55,101,5000,5.08,"27-Jul-2026",1,"",""
"31","706GS2028","GS",103,103,103,103,103,103,33,0.03,"27-Jul-2026",1,"",""
"32","709GS2054","GS",100,100,99,99.2,99.2,99.24,254,0.25,"27-Jul-2026",7,"",""
"33","709GS2074","GS",95.3,95.75,95.3,95.74,95.74,95.3,4783,4.56,"27-Jul-2026",10,"",""
"34","710GS2029","GS",104.19,104.19,104.19,104.19,104.19,103.2,1,0,"27-Jul-2026",1,"",""
"35","716GS2050","GS",98.01,102,98,102,102,100.01,6210,6.15,"27-Jul-2026",8,"",""
"36","717GS2030","GS",104.3,104.3,103.1,103.1,103.1,104.3,3951,4.11,"27-Jul-2026",4,"",""
"37","718GS2037","GS",101.21,102.34,101.21,102.34,102.34,102,6302,6.4,"27-Jul-2026",6,"",""
"38","71GS2034","GS",102.35,102.35,102.35,102.35,102.35,103.2,3000,3.07,"27-Jul-2026",1,"",""
"39","724GS2055","GS",101.07,101.35,100.6,101.31,101.31,101.07,11556,11.65,"27-Jul-2026",21,"",""
"40","725GS2063","GS",97.9,97.9,97.33,97.43,97.54,97.09,63602,61.97,"27-Jul-2026",82,"",""
"41","726GS2032","GS",104.26,106,104.26,105.52,105.5,106.25,10502,11.08,"27-Jul-2026",7,"",""
"42","726GS2033","GS",105.5,105.5,105.5,105.5,105.5,105.76,10,0.01,"27-Jul-2026",1,"",""
