"","SYMBOL","SERIES","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","TOTTRDQTY","TOTTRDVAL","TIMESTAMP","TOTALTRADES","ISIN","X"
"1","20MICRONS","EQ",219,220.99,216.75,218.06,217.11,219.28,78133,170.81,"09-Sep-2026",2651,"",""
"2","21STCENMGM","EQ",38.98,39.34,38.31,38.8,38.8,38.59,1472,0.57,"09-Sep-2026",37,"",""
"3","360ONE","EQ",1104.4,1109.2,1087.4,1087.4,1087.4,1110,869898,9571.81,"09-Sep-2026",64089,"",""
"4","3BBLACKBIO","EQ",1490,1499,1448.1,1476.1,1471,1455.3,9173,135.13,"09-Sep-2026",1267,"",""
"5","3IINFOLTD","BE",22.32,22.58,22.1,22.5,22.49,22.32,150908,33.93,"09-Sep-2026",405,"",""
"6","3MINDIA","EQ",33145,33145,32745,33025,33000,33145,1275,419.69,"09-Sep-2026",805,"",""
"7","3PLAND","EQ",31.55,32.51,31.55,32.25,32.25,32.4,1886,0.61,"09-Sep-2026",77,"",""
"8","574GS2026","GS",101.21,101.21,101.21,101.21,101.21,101.95,1,0,"09-Sep-2026",1,"",""
"9","5PAISA","EQ",337.2,338.95,327.55,334.3,334,337.4,55842,186.33,"09-Sep-2026",1977,"",""
"10","610GS2031","GS",99.99,99.99,99.99,99.99,99.99,99.99,1,0,"09-Sep-2026",1,"",""
"11","620GS2029","GS",100,100,100,100,100,99,800,0.8,"09-Sep-2026",2,"",""
"12","633GS2035","GS",101,101,99,99,99,99.3,3994,3.95,"09-Sep-2026",3,"",""
"13","636GS2031","GS",99.5,99.5,99,99,99.5,99.5,793,0.79,"09-Sep-2026",4,"",""
"14","63MOONS","EQ",864,883.35,845.2,865.05,879.5,868.25,645891,5594.37,"09-Sep-2026",23314,"",""
"15","648GS2035","GS",98.11,101.2,98.11,101.2,101.2,98.6,5601,5.6,"09-Sep-2026",9,"",""
"16","654GS2032","GS",100,100.25,100,100.25,100.25,100.3,15001,15.04,"09-Sep-2026",2,"",""
"17","667GS2050","GS",92.6,92.6,92.6,92.6,92.6,92.6,1000,0.93,"09-Sep-2026",2,"",""
"18","668GS2040","GS",98,98,97.98,97.98,97.98,97.7,2500,2.45,"09-Sep-2026",2,"",""
"19","676GS2061","GS",91,91,90.15,90.23,90.15,90.35,46636,42.07,"09-Sep-2026",118,"",""
"20","679GS2031","GS",101,101,101,101,101,100.5,500,0.51,"09-Sep-2026",1,"",""
"21","679GS2034A","GS",99.99,99.99,99.99,99.99,99.99,101,1,0,"09-Sep-2026",1,"",""
"22","690GS2065","GS",93.49,93.49,93.35,93.39,93.4,93.25,2453,2.29,"09-Sep-2026",6,"",""
"23","692GS2039","GS",99.01,99.01,99.01,99.01,99.01,99.29,400,0.4,"09-Sep-2026",1,"",""
"24","694GS2036","GS",102.21,103.08,102.21,103.08,103.08,103.1,211,0.22,"09-Sep-2026",4,"",""
"25","695GS2061","GS",94,94,93,93.89,93.89,93.89,5357,5.03,"09-Sep-2026",9,"",""
"26","697GR2034","GS",98,98,98,98,98,101.25,10,0.01,"09-Sep-2026",1,"",""
"27","698GR2054","GS",94.5,94.5,94.5,94.5,94.5,94.5,50,0.05,"09-Sep-2026",1,"",""
"28","699GS2051","GS",96,96.4,96,96.3,96.3,96.75,2000,1.92,"09-Sep-2026",3,"",""
"29","704GS2029","GS",101.97,102.5,101.19,101.19,101.19,103,6800,6.94,"09-Sep-2026",6,"",""
