"","SYMBOL","SERIES","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","TOTTRDQTY","TOTTRDVAL","TIMESTAMP","TOTALTRADES","ISIN","X"
"1","1018GS2026","GS",104.98,104.98,104.49,104.49,104.49,102,361,0.38,"09-Apr-2026",4,"",""
"2","20MICRONS","EQ",163.5,165,158.15,159.38,158.91,161.48,108034,174.73,"09-Apr-2026",2615,"",""
"3","21STCENMGM","EQ",29.75,29.75,29.75,29.75,29.75,29.17,522,0.16,"09-Apr-2026",4,"",""
"4","360ONE","EQ",971.75,1015.95,964.6,998.1,1001,971.7,3056871,30532.15,"09-Apr-2026",105196,"",""
"5","3IINFOLTD","EQ",15.7,15.79,15.3,15.37,15.35,15.7,262171,40.59,"09-Apr-2026",997,"",""
"6","3MINDIA","EQ",31500,32060,30925,31050,31055,31595,9034,2810.13,"09-Apr-2026",2160,"",""
"7","3PLAND","EQ",34.89,35.2,34,35.05,35.2,34.66,2013,0.7,"09-Apr-2026",86,"",""
"8","574GS2026","GS",101.55,101.55,101.55,101.55,101.55,101.25,4,0,"09-Apr-2026",1,"",""
"9","5PAISA","EQ",302.75,306.71,299.1,300.5,299.7,302.75,44597,134.24,"09-Apr-2026",979,"",""
"10","601GS2030","GS",99.5,99.5,97.7,97.7,97.7,97.7,100,0.1,"09-Apr-2026",3,"",""
"11","610GS2031","GS",101,101,101,101,101,100.5,1,0,"09-Apr-2026",1,"",""
"12","633GS2035","GS",98.75,98.75,97.95,97.95,97.95,98.75,170,0.17,"09-Apr-2026",2,"",""
"13","63MOONS","EQ",549.7,557.25,535.5,550.95,550,547.4,210614,1156.15,"09-Apr-2026",8090,"",""
"14","645GS2029","GS",97.11,98,97.11,98,98,100.93,12,0.01,"09-Apr-2026",2,"",""
"15","648GS2035","GS",98,98,97.44,97.52,97.5,97.44,28605,27.99,"09-Apr-2026",19,"",""
"16","664GS2035","GS",98.75,98.75,98.75,98.75,98.75,98.75,2100,2.07,"09-Apr-2026",1,"",""
"17","667GS2035","GS",99.75,99.75,99.75,99.75,99.75,105,80,0.08,"09-Apr-2026",1,"",""
"18","667GS2050","GS",93.45,93.45,93.45,93.45,93.45,91.75,335,0.31,"09-Apr-2026",1,"",""
"19","668GS2040","GS",98,98,96.85,96.85,96.85,97.51,202,0.2,"09-Apr-2026",4,"",""
"20","676GS2061","GS",91.05,92.31,91.05,92,92,91.05,21464,19.67,"09-Apr-2026",20,"",""
"21","679GS2034A","GS",99.5,99.5,97.51,97.51,97.51,99.5,2,0,"09-Apr-2026",2,"",""
"22","68GS2060","GS",89.36,90.5,89.35,90.5,90.5,94,3,0,"09-Apr-2026",3,"",""
"23","690GS2065","GS",93.7,94.4,93.7,93.9,93.97,94.23,41270,38.73,"09-Apr-2026",53,"",""
"24","695GS2061","GS",92.9,92.9,92.8,92.82,92.82,92.8,15485,14.37,"09-Apr-2026",19,"",""
"25","697GR2034","GS",94,94,94,94,94,91,100,0.09,"09-Apr-2026",1,"",""
"26","699GS2026","GS",102.66,103,102.66,103,103,102.66,210,0.22,"09-Apr-2026",4,"",""
"27","699GS2051","GS",94.99,94.99,94.25,94.25,94.25,94.29,47935,45.19,"09-Apr-2026",25,"",""
"28","702GS2027","GS",102.7,103.26,102.5,103.26,103.26,102.16,14662,15.05,"09-Apr-2026",6,"",""
"29","704GS2029","GS",102.26,102.26,102.26,102.26,102.26,102.26,400,0.41,"09-Apr-2026",2,"",""
