"","SYMBOL","SERIES","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","TOTTRDQTY","TOTTRDVAL","TIMESTAMP","TOTALTRADES","ISIN","X"
"1","1018GS2026","GS",104.8,108,103,105.9,106,103,2704,2.85,"04-Jun-2026",15,"",""
"2","20MICRONS","EQ",188.9,195.59,187.1,189.36,189.9,188.95,183378,350.98,"04-Jun-2026",3771,"",""
"3","21STCENMGM","EQ",33.5,33.78,32.51,32.55,32.52,33.16,1934,0.63,"04-Jun-2026",48,"",""
"4","360ONE","EQ",1064.3,1081.5,1062.1,1071.8,1071.9,1072.5,2527568,27043.88,"04-Jun-2026",43249,"",""
"5","3BBLACKBIO","EQ",1141.2,1148.9,1110.6,1126.9,1129.7,1138.9,4876,55.1,"04-Jun-2026",748,"",""
"6","3IINFOLTD","EQ",17.4,17.4,16.85,17.11,17.29,17.16,129116,22.21,"04-Jun-2026",696,"",""
"7","3MINDIA","EQ",32445,32810,32060,32290,32180,32445,2629,853.07,"04-Jun-2026",1415,"",""
"8","3PLAND","EQ",31.41,32.39,31.25,31.91,31.7,32.21,1842,0.58,"04-Jun-2026",65,"",""
"9","5PAISA","EQ",319.1,326.3,319.1,320.6,322.8,325.05,13197,42.57,"04-Jun-2026",855,"",""
"10","603GS2029","GS",99.31,99.31,99.31,99.31,99.31,99.32,200,0.2,"04-Jun-2026",2,"",""
"11","610GS2031","GS",100.7,100.7,100.7,100.7,100.7,106,1,0,"04-Jun-2026",1,"",""
"12","613GS2028","GS",99.29,99.29,99.29,99.29,99.29,99.5,1,0,"04-Jun-2026",1,"",""
"13","633GS2035","GS",100,102,100,102,102,98,9,0.01,"04-Jun-2026",3,"",""
"14","63MOONS","EQ",615.3,637.9,613.8,620.5,618.45,618.4,119842,753.57,"04-Jun-2026",4748,"",""
"15","648GS2035","GS",96.5,96.5,96.5,96.5,96.5,97.5,116,0.11,"04-Jun-2026",1,"",""
"16","667GS2050","GS",91.8,93.5,89.46,93.5,93.5,93.2,1951,1.77,"04-Jun-2026",8,"",""
"17","668GS2040","GS",97.38,97.5,96,97.4,97.4,97.38,3245,3.13,"04-Jun-2026",13,"",""
"18","675GS2029","GS",101.41,101.75,101.41,101.75,101.75,104.25,2,0,"04-Jun-2026",2,"",""
"19","676GS2061","GS",90.3,90.3,89.8,90.29,90.29,89.97,6041,5.44,"04-Jun-2026",8,"",""
"20","679GS2034","GS",97.46,97.46,97.46,97.46,97.46,99.8,835,0.81,"04-Jun-2026",2,"",""
"21","679GS2034A","GS",96.12,96.12,96.12,96.12,96.12,97.08,200,0.19,"04-Jun-2026",1,"",""
"22","68GS2060","GS",92.9,93.99,92.9,93.99,93.99,90.9,14,0.01,"04-Jun-2026",4,"",""
"23","690GS2065","GS",91.4,91.4,91,91.32,91.32,91.29,3618,3.29,"04-Jun-2026",20,"",""
"24","694GS2036","GS",99.1,99.1,99.1,99.1,99.1,99,300,0.3,"04-Jun-2026",2,"",""
"25","695GS2061","GS",95,95.5,94,95.5,95.5,93,2065,1.97,"04-Jun-2026",5,"",""
"26","697GR2034","GS",97,97,97,97,97,97,100,0.1,"04-Jun-2026",2,"",""
"27","698GR2054","GS",95.44,95.44,95.44,95.44,95.44,97,7,0.01,"04-Jun-2026",1,"",""
"28","702GS2031","GS",102.85,102.85,102.85,102.85,102.85,102.01,1000,1.03,"04-Jun-2026",1,"",""
"29","704GS2029","GS",101.6,101.6,101.5,101.5,101.5,102,11806,11.99,"04-Jun-2026",4,"",""
"30","706GS2028","GS",101.84,101.85,101.84,101.84,101.85,101.25,3500,3.56,"04-Jun-2026",2,"",""
"31","706GS2046","GS",97,97.6,97,97.6,97.6,99,5100,4.97,"04-Jun-2026",9,"",""
"32","709GS2054","GS",95.93,95.93,95.16,95.3,95.3,95.92,52204,49.71,"04-Jun-2026",29,"",""
"33","709GS2074","GS",93.14,93.4,93,93,93,92.93,843,0.78,"04-Jun-2026",14,"",""
"34","710GS2029","GS",103.05,103.63,103.05,103.52,103.6,102.49,12232,12.65,"04-Jun-2026",13,"",""
"35","716GS2050","GS",99.09,99.09,99.09,99.09,99.09,97.79,1,0,"04-Jun-2026",1,"",""
"36","718GS2033","GS",103,103,103,103,103,103,1000,1.03,"04-Jun-2026",1,"",""
"37","718GS2037","GS",102.8,102.95,102.8,102.95,102.95,102.95,115603,118.96,"04-Jun-2026",6,"",""
"38","723GS2039","GS",100,100,99.1,100,100,100,10409,10.41,"04-Jun-2026",9,"",""
"39","724GS2055","GS",97.7,97.75,97.45,97.45,97.45,97.31,72755,70.95,"04-Jun-2026",26,"",""
"40","725GS2063","GS",98.25,98.25,98,98,98,97.92,64817,63.55,"04-Jun-2026",49,"",""
"41","726GS2032","GS",103,103,103,103,103,102.99,3501,3.61,"04-Jun-2026",1,"",""
"42","734GS2064","GS",96.69,96.79,96.45,96.72,96.75,96.69,33813,32.67,"04-Jun-2026",65,"",""
"43","737GS2028","GS",101.06,102.4,101.06,101.9,101.9,101.25,72981,73.99,"04-Jun-2026",19,"",""
"44","738GS2027","GS",104.25,104.25,104.01,104.09,104.23,104.01,53271,55.46,"04-Jun-2026",23,"",""
"45","73GS2053","GS",99.4,99.4,99.4,99.4,99.4,99.4,179,0.18,"04-Jun-2026",3,"",""
"46","741GS2036","GS",105,105,105,105,105,105.76,100,0.11,"04-Jun-2026",1,"",""
"47","743GS2076","GS",100,100,99.38,99.89,99.74,99.99,19553,19.55,"04-Jun-2026",20,"",""
"48","746GS2073","GS",98.98,98.98,98.49,98.98,98.98,98.98,2251,2.23,"04-Jun-2026",7,"",""
"49","74GS2062","GS",100.95,101,100.95,101,101,100.6,19,0.02,"04-Jun-2026",3,"",""
"50","754GS2036","GS",103.79,103.95,103.7,103.89,103.85,103.75,308301,320.24,"04-Jun-2026",126,"",""
"51","771GS2066","GS",102,102,102,102,102,100.65,1,0,"04-Jun-2026",1,"",""
"52","824GS2027","GS",106.98,106.98,106.18,106.18,106.18,103.16,43,0.05,"04-Jun-2026",3,"",""
"53","92GS2030","GS",110.7,110.7,110.2,110.25,110.3,110.25,12550,13.85,"04-Jun-2026",20,"",""
"54","A2ZINFRA","EQ",14.67,15.42,14.65,15.21,15.28,14.69,322380,49.05,"04-Jun-2026",601,"",""
"55","AAATECH","EQ",93,93,90.99,91.19,92,92.17,21299,19.52,"04-Jun-2026",739,"",""
"56","AADHARHFC","EQ",460,471,458.7,469.9,470,462.45,231947,1083.91,"04-Jun-2026",10707,"",""
"57","AAKAAR","SM",74,74.55,73,74.5,74.5,71,12800,9.49,"04-Jun-2026",8,"",""
"58","AAKASH","BE",9.48,10,9.31,10,10,9.53,469326,46.38,"04-Jun-2026",562,"",""
