"","SYMBOL","SERIES","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","TOTTRDQTY","TOTTRDVAL","TIMESTAMP","TOTALTRADES","ISIN","X"
"1","1018GS2026","GS",105.25,105.25,104.01,105,105,105.09,22403,23.52,"03-Nov-2025",11,"",""
"2","20MICRONS","EQ",206.83,221.2,206.83,217.71,218.1,206.83,218244,470.24,"03-Nov-2025",4933,"",""
"3","21STCENMGM","EQ",46.9,47.6,45.92,46.88,46.5,46.7,6144,2.89,"03-Nov-2025",123,"",""
"4","360ONE","EQ",1088.7,1104.9,1084.3,1093.6,1095,1080.7,343479,3763.12,"03-Nov-2025",16020,"",""
"5","3IINFOLTD","EQ",17.66,17.75,17.4,17.49,17.48,17.53,620819,108.93,"03-Nov-2025",2105,"",""
"6","3MINDIA","EQ",29595,31085,29490,30700,30865,29560,26118,7996.18,"03-Nov-2025",6742,"",""
"7","3PLAND","EQ",42.01,43.8,41.7,42.05,42.25,42.18,4979,2.12,"03-Nov-2025",127,"",""
"8","563GS2026","GS",100.25,100.99,100.25,100.99,100.99,100.2,4850,4.86,"03-Nov-2025",5,"",""
"9","577GS2030","GS",99.99,99.99,99.99,99.99,99.99,99.99,84,0.08,"03-Nov-2025",1,"",""
"10","5PAISA","EQ",313.3,315,311.15,311.8,312,311.7,38510,120.44,"03-Nov-2025",1590,"",""
"11","601GS2030","GS",100,100.05,100,100.05,100.05,100,200,0.2,"03-Nov-2025",2,"",""
"12","610GS2031","GS",99.6,99.7,99.6,99.7,99.7,99.7,716,0.71,"03-Nov-2025",2,"",""
"13","619GS2034","GS",98.75,98.75,98.75,98.75,98.75,98,32,0.03,"03-Nov-2025",1,"",""
"14","622GS2035","GS",98,98,98,98,98,98,2,0,"03-Nov-2025",1,"",""
"15","628GS2032","GS",99.35,99.35,99.35,99.35,99.35,99.45,100,0.1,"03-Nov-2025",1,"",""
"16","63MOONS","EQ",791,804,787.1,789.4,792,795.95,119948,950.77,"03-Nov-2025",2469,"",""
"17","648GS2035","GS",99.6,99.6,99.6,99.6,99.6,99.5,1200,1.2,"03-Nov-2025",3,"",""
"18","664GS2027","GS",104,104,104,104,104,102.85,4486,4.67,"03-Nov-2025",2,"",""
"19","667GS2050","GS",96.5,96.5,95.5,95.9,95.5,96.49,120,0.12,"03-Nov-2025",8,"",""
"20","668GS2040","GS",99.05,99.06,99.05,99.06,99.06,100,200,0.2,"03-Nov-2025",2,"",""
"21","676GS2061","GS",95.68,95.69,94,94.99,94.99,94.99,21192,20.27,"03-Nov-2025",12,"",""
"22","679GS2031","GS",102.95,104,102.75,102.75,102.75,102.95,772,0.8,"03-Nov-2025",5,"",""
"23","679GS2034","GS",102,102,102,102,102,101,1686,1.72,"03-Nov-2025",2,"",""
