"","SYMBOL","SERIES","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","TOTTRDQTY","TOTTRDVAL","TIMESTAMP","TOTALTRADES","ISIN","X"
"1","1018GS2026","GS",106.37,106.37,104.85,104.85,104.85,107.45,3013,3.16,"20-Jan-2026",11,"",""
"2","20MICRONS","EQ",184.2,185.6,175.67,176.9,177.87,185.43,136376,246.18,"20-Jan-2026",3749,"",""
"3","21STCENMGM","EQ",42.04,42.04,42.04,42.04,42.04,42.89,1063,0.45,"20-Jan-2026",17,"",""
"4","360ONE","EQ",1162,1163.9,1123.5,1129.6,1129.6,1170.1,1700344,19352.87,"20-Jan-2026",80146,"",""
"5","3IINFOLTD","EQ",15.2,15.25,14.79,14.83,14.79,15.17,808943,120.87,"20-Jan-2026",1540,"",""
"6","3MINDIA","EQ",34445,34445,33000,33375,33400,34445,4275,1439.1,"20-Jan-2026",2266,"",""
"7","3PLAND","EQ",36,36.4,35.1,36.16,36.19,36.23,1736,0.62,"20-Jan-2026",84,"",""
"8","563GS2026","GS",101.5,101.5,101.29,101.35,101.35,101.27,700,0.71,"20-Jan-2026",8,"",""
"9","591GS2028","GS",99.13,99.13,99.13,99.13,99.13,99.13,1000,0.99,"20-Jan-2026",2,"",""
"10","5PAISA","EQ",377.05,393.6,353.95,358,363,378.95,321398,1204.69,"20-Jan-2026",10125,"",""
"11","601GS2030","GS",100,100,98.76,98.8,98.8,98.76,1186,1.17,"20-Jan-2026",9,"",""
"12","619GS2034","GS",98.2,98.2,98.2,98.2,98.2,96.25,298,0.29,"20-Jan-2026",1,"",""
"13","628GS2032","GS",97.4,97.4,97.4,97.4,97.4,97.25,100,0.1,"20-Jan-2026",1,"",""
"14","63MOONS","EQ",652.05,654.45,607.95,611.6,612,656.65,126032,795.35,"20-Jan-2026",6412,"",""
"15","648GS2035","GS",99.51,101,99.51,101,101,99.91,401,0.4,"20-Jan-2026",5,"",""
"16","654GS2032","GS",99.7,99.7,99.7,99.7,99.7,99.65,1450,1.45,"20-Jan-2026",4,"",""
"17","664GS2027","GS",101.26,101.26,101.26,101.26,101.26,101.26,5300,5.37,"20-Jan-2026",3,"",""
"18","664GS2035","GS",98.71,98.71,98.71,98.71,98.71,98.36,1000,0.99,"20-Jan-2026",1,"",""
"19","667GS2035","GS",105.1,105.1,105.1,105.1,105.1,100.1,2000,2.1,"20-Jan-2026",2,"",""
"20","667GS2050","GS",92.95,92.95,92.49,92.49,92.49,92.7,2300,2.13,"20-Jan-2026",10,"",""
"21","668GS2040","GS",96.9,96.95,95.5,96.4,96.4,96.85,38359,36.74,"20-Jan-2026",16,"",""
"22","675GS2029","GS",101.26,101.26,101.26,101.26,101.26,101.25,100,0.1,"20-Jan-2026",1,"",""
"23","676GS2061","GS",94.15,94.6,94.15,94.6,94.6,94.55,1056,1,"20-Jan-2026",2,"",""
"24","679GS2031","GS",100.41,100.41,100.41,100.41,100.41,100.4,1200,1.2,"20-Jan-2026",3,"",""
"25","679GS2034","GS",101.5,102,101.5,102,102,101.99,400,0.41,"20-Jan-2026",2,"",""
