"","SYMBOL","SERIES","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","TOTTRDQTY","TOTTRDVAL","TIMESTAMP","TOTALTRADES","ISIN","X"
"1","1018GS2026","GS",102.3,102.3,101.2,102,102,102,4867,4.93,"23-Mar-2026",15,"",""
"2","20MICRONS","EQ",148.9,150.47,140.65,143.04,141.99,151.02,166178,240.79,"23-Mar-2026",3708,"",""
"3","21STCENMGM","EQ",32.39,32.39,31.27,31.27,31.27,31.9,10080,3.18,"23-Mar-2026",82,"",""
"4","360ONE","EQ",1040.6,1040.6,973.9,985.4,982.2,1040.6,550431,5468.74,"23-Mar-2026",30173,"",""
"5","3IINFOLTD","EQ",14.15,14.15,13.06,13.49,13.56,13.82,1428782,191.9,"23-Mar-2026",2139,"",""
"6","3MINDIA","EQ",31960,32035,31000,31100,31120,32270,4038,1263.47,"23-Mar-2026",2492,"",""
"7","3PLAND","EQ",32,32.59,30.75,31.57,30.95,32.36,1485,0.48,"23-Mar-2026",42,"",""
"8","563GS2026","GS",102.35,102.35,102.35,102.35,102.35,102.27,1300,1.33,"23-Mar-2026",4,"",""
"9","574GS2026","GS",102.79,102.79,101.3,101.3,101.3,102.79,951,0.96,"23-Mar-2026",3,"",""
"10","585GS2030","GS",98.31,98.31,98.2,98.2,98.2,98.6,2000,1.97,"23-Mar-2026",2,"",""
"11","5PAISA","EQ",286.2,290.75,278.15,279.2,278.75,291.6,70668,198.39,"23-Mar-2026",1961,"",""
"12","601GS2030","GS",98.65,98.9,98,98,98,98.66,400200,395.56,"23-Mar-2026",10,"",""
"13","610GS2031","GS",99.5,99.5,99.5,99.5,99.5,99,1,0,"23-Mar-2026",1,"",""
"14","633GS2035","GS",99.45,100,99,100,100,99.45,7200,7.2,"23-Mar-2026",7,"",""
"15","636GS2031","GS",101,101,101,101,101,101,100,0.1,"23-Mar-2026",2,"",""
"16","63MOONS","EQ",520.8,520.8,481,484.3,481.1,531.45,486270,2415.17,"23-Mar-2026",12389,"",""
"17","648GS2035","GS",99.06,101.81,99.06,100.56,100.5,101.15,801704,805.89,"23-Mar-2026",32,"",""
"18","667GS2035","GS",105,105.73,104,104,104,100.7,4,0,"23-Mar-2026",3,"",""
"19","668GS2040","GS",96.5,96.5,96.5,96.5,96.5,97.5,2060,1.99,"23-Mar-2026",4,"",""
"20","675GS2029","GS",102.8,102.8,101.16,102.1,102.1,102.58,400628,410.41,"23-Mar-2026",13,"",""
"21","676GS2061","GS",91.9,91.9,90.85,90.88,90.9,90.93,4160,3.8,"23-Mar-2026",37,"",""
"22","679GS2027","GS",102.26,102.26,102.26,102.26,102.26,102.25,30000,30.68,"23-Mar-2026",3,"",""
"23","679GS2031","GS",101,101.95,100.3,101.7,101.7,102.2,407500,413.97,"23-Mar-2026",14,"",""
"24","679GS2034","GS",101.45,101.45,101.1,101.1,101.1,102.55,2400,2.43,"23-Mar-2026",2,"",""
"25","68GS2060","GS",91.8,96.38,91.79,91.79,91.79,91.8,3007,2.76,"23-Mar-2026",5,"",""
"26","690GS2065","GS",94.75,94.9,94,94.1,94.1,94.75,17114,16.13,"23-Mar-2026",33,"",""
"27","692GS2039","GS",99.65,99.65,99.65,99.65,99.65,101.7,16,0.02,"23-Mar-2026",1,"",""
"28","695GS2061","GS",94.01,95.4,93.05,93.05,93.05,95,3255,3.06,"23-Mar-2026",14,"",""
"29","697GR2034","GS",92.12,92.12,92.12,92.12,92.12,92.12,45,0.04,"23-Mar-2026",2,"",""
"30","698GR2054","GS",95.53,95.53,94,94,94,95.53,102,0.1,"23-Mar-2026",3,"",""
"31","699GS2026","GS",102.89,103,102.81,102.81,102.81,102.75,872,0.9,"23-Mar-2026",3,"",""
"32","699GS2051","GS",96.02,96.02,95,95.3,95,94.37,753,0.72,"23-Mar-2026",13,"",""
"33","702GS2031","GS",102.5,102.5,102,102,102,102.52,92500,94.36,"23-Mar-2026",8,"",""
"34","704GS2029","GS",103,103,102.86,102.86,102.86,103.5,4399,4.53,"23-Mar-2026",7,"",""
"35","706GS2028","GS",104,104,103.5,103.5,103.5,104,4800,4.99,"23-Mar-2026",4,"",""
"36","706GS2046","GS",99.29,99.29,99.18,99.18,99.18,100,4501,4.46,"23-Mar-2026",4,"",""
"37","709GS2054","GS",97.8,97.8,95.15,96,96,96.35,23183,22.28,"23-Mar-2026",30,"",""
"38","709GS2074","GS",95.5,95.95,94.65,95.63,95.55,96.07,125323,119.76,"23-Mar-2026",84,"",""
"39","710GS2029","GS",104.01,104.01,103.79,103.79,103.79,104.78,41201,42.77,"23-Mar-2026",10,"",""
"40","717GS2028","GS",102.1,102.1,102.1,102.1,102.1,101.02,196,0.2,"23-Mar-2026",1,"",""
"41","717GS2030","GS",104.55,104.55,103.9,103.91,103.91,104.6,30224,31.55,"23-Mar-2026",21,"",""
"42","718GS2033","GS",102.7,102.7,101.5,102.25,102,103.28,446799,454.99,"23-Mar-2026",124,"",""
"43","718GS2037","GS",103,103,101.5,101.79,102.54,103.45,316302,322.55,"23-Mar-2026",27,"",""
"44","71GS2034","GS",103.01,103.01,102,102,102,104.6,14000,14.37,"23-Mar-2026",4,"",""
"45","724GS2055","GS",98.22,99.39,97.51,97.77,97.55,98.99,60694,59.34,"23-Mar-2026",46,"",""
"46","725GS2063","GS",98.1,98.6,97.5,97.66,97.6,98.45,124215,121.59,"23-Mar-2026",163,"",""
